study_ref_id,biodist_type,animal_model,cell_lines,dosage_symbols,dosage_value,dosage_unit,detection_time,metabolism,excretion,tumor_retention_time,tbr_tumor_blood,tbr_tumor_muscle,tbr_tumor_kidney,tbr_tumor_salivary_glands,tbr_tumor_liver,tbr_tumor_lung,tbr_tumor_heart,biodist_result_image,biodist_description,created_at,updated_at
BIO04758,Imaging,mice bearing AsPC-1 xenograft tumors,AsPC-1 cell,=,5.55–7.4 ,MBq,24h,Slow blood clearance,Mainly excreted through the liver and gallbladder,,,,,,,,,BIOR04758,,,
BIO04758,Imaging,mice bearing AsPC-1 xenograft tumors,AsPC-1 cell,=,5.55–7.4 ,MBq,48h,Slow blood clearance,Mainly excreted through the liver and gallbladder,,,,,,,,,BIOR04758,,,
BIO04758,Imaging,mice bearing AsPC-1 xenograft tumors,AsPC-1 cell,=,5.55–7.4 ,MBq,72h,Slow blood clearance,Mainly excreted through the liver and gallbladder,,,,,,,,,BIOR04758,,,
BIO04758,Imaging,mice bearing AsPC-1 xenograft tumors,AsPC-1 cell,=,5.55–7.4 ,MBq,96h,Slow blood clearance,Mainly excreted through the liver and gallbladder,,,,,,,,,BIOR04758,,,
BIO04758,Imaging,mice bearing AsPC-1 xenograft tumors,AsPC-1 cell,=,5.55–7.4 ,MBq,120h,Slow blood clearance,Mainly excreted through the liver and gallbladder,,,,,,,,,BIOR04758,,,
BIO04759,Ex vivo biodistribution,mice bearing MIA PaCa-2 xenograft tumors,MIA PaCa-2 cell,=,5.55–7.4 ,MBq,4h,Slow blood clearance,Mainly excreted through the liver and gallbladder,,,,,,,,,BIOR04759,"High uptake in Trop-2+ tumors, low in Trop-2- tumors and normal organs",,
BIO04759,Ex vivo biodistribution,mice bearing MIA PaCa-2 xenograft tumors,MIA PaCa-2 cell,=,5.55–7.4 ,MBq,24h,Slow blood clearance,Mainly excreted through the liver and gallbladder,,,,,,,,,BIOR04759,"High uptake in Trop-2+ tumors, low in Trop-2- tumors and normal organs",,
BIO04759,Ex vivo biodistribution,mice bearing MIA PaCa-2 xenograft tumors,MIA PaCa-2 cell,=,5.55–7.4 ,MBq,48h,Slow blood clearance,Mainly excreted through the liver and gallbladder,,,,,,,,,BIOR04759,"High uptake in Trop-2+ tumors, low in Trop-2- tumors and normal organs",,
BIO04759,Ex vivo biodistribution,mice bearing MIA PaCa-2 xenograft tumors,MIA PaCa-2 cell,=,5.55–7.4 ,MBq,72h,Slow blood clearance,Mainly excreted through the liver and gallbladder,,,,,,,,,BIOR04759,"High uptake in Trop-2+ tumors, low in Trop-2- tumors and normal organs",,
BIO04759,Ex vivo biodistribution,mice bearing MIA PaCa-2 xenograft tumors,MIA PaCa-2 cell,=,5.55–7.4 ,MBq,96h,Slow blood clearance,Mainly excreted through the liver and gallbladder,,,,,,,,,BIOR04759,"High uptake in Trop-2+ tumors, low in Trop-2- tumors and normal organs",,
BIO04759,Ex vivo biodistribution,mice bearing MIA PaCa-2 xenograft tumors,MIA PaCa-2 cell,=,5.55–7.4 ,MBq,120h,Slow blood clearance,Mainly excreted through the liver and gallbladder,,,,,,,,,BIOR04759,"High uptake in Trop-2+ tumors, low in Trop-2- tumors and normal organs",,
BIO04760,Imaging,mice bearing MIA PaCa-2 xenograft tumors,MIA PaCa-2 cell,=,5.55–7.4 ,MBq,4h,Slow blood clearance,Mainly excreted through the liver and gallbladder,,,,,,,,,BIOR04760,,,
BIO04760,Imaging,mice bearing MIA PaCa-2 xenograft tumors,MIA PaCa-2 cell,=,5.55–7.4 ,MBq,24h,Slow blood clearance,Mainly excreted through the liver and gallbladder,,,,,,,,,BIOR04760,,,
BIO04760,Imaging,mice bearing MIA PaCa-2 xenograft tumors,MIA PaCa-2 cell,=,5.55–7.4 ,MBq,48h,Slow blood clearance,Mainly excreted through the liver and gallbladder,,,,,,,,,BIOR04760,,,
BIO04760,Imaging,mice bearing MIA PaCa-2 xenograft tumors,MIA PaCa-2 cell,=,5.55–7.4 ,MBq,72h,Slow blood clearance,Mainly excreted through the liver and gallbladder,,,,,,,,,BIOR04760,,,
BIO04760,Imaging,mice bearing MIA PaCa-2 xenograft tumors,MIA PaCa-2 cell,=,5.55–7.4 ,MBq,96h,Slow blood clearance,Mainly excreted through the liver and gallbladder,,,,,,,,,BIOR04760,,,
BIO04760,Imaging,mice bearing MIA PaCa-2 xenograft tumors,MIA PaCa-2 cell,=,5.55–7.4 ,MBq,120h,Slow blood clearance,Mainly excreted through the liver and gallbladder,,,,,,,,,BIOR04760,,,
BIO02040,Ex vivo biodistribution,BALB/c nude mice with PC3 s.c. or i.p. xenografts,PC3 cells,=,0.1,nmol,1h,Rapid clearance of blood,Mainly excreted through the kidneys,,,,,,,,,BIOR02040,"High tumor uptake, rapid blood clearance, renal excretion",,
BIO02040,Imaging,BALB/c nude mice with PC3 s.c. or i.p. xenografts,PC3 cells,=,0.1,nmol,1h,Rapid clearance of blood,Mainly excreted through the kidneys,,,,,,,,,BIOR02040,"High tumor uptake, rapid blood clearance, renal excretion",,
BIO02041,Ex vivo biodistribution,Nude mice with subcutaneous THJ-16T tumors,THJ-16T cell,=,3.7–7.4,MBq,48h,,Mainly excreted through the liver and gallbladder,,,,,,,,,BIOR02041,High uptake in tumor and liver; low in other organs,,
BIO02042,Imaging,Nude mice with subcutaneous THJ-17T tumors,THJ-16T cell,=,3.7–7.4,MBq,4h,,Mainly excreted through the liver and gallbladder,,,,,,,,,BIOR02042,,,
BIO02042,Imaging,Nude mice with subcutaneous THJ-17T tumors,THJ-17T cell,=,3.7–7.4,MBq,24h,,Mainly excreted through the liver and gallbladder,,,,,,,,,BIOR02042,,,
BIO02042,Imaging,Nude mice with subcutaneous THJ-17T tumors,THJ-17T cell,=,3.7–7.4,MBq,48h,,Mainly excreted through the liver and gallbladder,,,,,,,,,BIOR02042,,,
BIO02043,Ex vivo biodistribution,Nude mice with orthotopic THJ-17T tumors,THJ-17T cell,=,3.7–7.4,MBq,48h,,Mainly excreted through the liver and gallbladder,,,,,,,,,BIOR02043,,,
BIO02043,Imaging,Nude mice with orthotopic THJ-17T tumors,THJ-17T cell,=,3.7–7.4,MBq,4h,,Mainly excreted through the liver and gallbladder,,,,,,,,,BIOR02043,,,
BIO02043,Imaging,Nude mice with orthotopic THJ-17T tumors,THJ-17T cell,=,3.7–7.4,MBq,24h,,Mainly excreted through the liver and gallbladder,,,,,,,,,BIOR02043,,,
BIO02043,Imaging,Nude mice with orthotopic THJ-17T tumors,THJ-17T cell,=,3.7–7.4,MBq,48h,,Mainly excreted through the liver and gallbladder,,,,,,,,,BIOR02043,,,
BIO02044,Ex vivo biodistribution, BALB/c nude mice with PC3 xenografts or metastases(8- to 9-week-old),PC3 cells,=,0.2,nmol/mouse,2h,,Mainly excreted through the kidneys,,,,,,,,,BIOR02044,"High tumor uptake, renal excretion, elevated liver and blood compared to IMP288",,
BIO02045,Imaging, BALB/c nude mice with PC3 xenografts or metastases(8- to 9-week-old),PC3 cells,=,0.2,nmol/mouse,2h,,Mainly excreted through the kidneys,,,,,,,,,BIOR02045,,,
BIO02046,Ex vivo biodistribution,NMRI nude mice with HT-29 xenografts,HT-29 cells,=,2–3 ,MBq,0.5h,Rapid clearance of blood,Mainly excreted through the kidneys,,0.66,2.6,0.29,1.92,2.35,3.07,3.07,BIOR02046,"Rapid clearance from blood, high kidney uptake, specific tumor accumulation confirmed vs control peptide.",,
BIO02046,Ex vivo biodistribution,NMRI nude mice with HT-29 xenografts,HT-29 cells,=,2–3 ,MBq,1h,Rapid clearance of blood,Mainly excreted through the kidneys,,2.18,2.47,0.25,2.34,4.3,3.13,7.31,BIOR02046,"Rapid clearance from blood, high kidney uptake, specific tumor accumulation confirmed vs control peptide.",,
BIO02046,Ex vivo biodistribution,NMRI nude mice with HT-29 xenografts,HT-29 cells,=,2–3 ,MBq,2h,Rapid clearance of blood,Mainly excreted through the kidneys,,0.98,0.7,0.09,0.77,2.07,0.63,3.62,BIOR02046,"Rapid clearance from blood, high kidney uptake, specific tumor accumulation confirmed vs control peptide.",,
BIO02046,Ex vivo biodistribution,NMRI nude mice with HT-29 xenografts,HT-29 cells,=,2–3 ,MBq,4h,Rapid clearance of blood,Mainly excreted through the kidneys,,4.09,0.62,0.1,0.58,3.5,0.61,3.32,BIOR02046,"Rapid clearance from blood, high kidney uptake, specific tumor accumulation confirmed vs control peptide.",,
BIO02046,Ex vivo biodistribution,NMRI nude mice with HT-29 xenografts,HT-29 cells,=,2–3 ,MBq,24h,Rapid clearance of blood,Mainly excreted through the kidneys,,11.4,0.38,0.07,0.52,3.3,0.73,5.7,BIOR02046,"Rapid clearance from blood, high kidney uptake, specific tumor accumulation confirmed vs control peptide.",,
BIO02047,Imaging,mice bearing MDA-MB-468 tumors,MDA-MB-468 cells,=,7.4–11.1 ,MBq,6h,,"Renal excretion is predominant, supplemented by hepatic and biliary excretion",,,,,,,,,BIOR02047,,,
BIO02047,Imaging,mice bearing MDA-MB-468 tumors,MDA-MB-468 cells,=,7.4–11.1 ,MBq,12h,,"Renal excretion is predominant, supplemented by hepatic and biliary excretion",,,,,,,,,BIOR02047,,,
BIO02047,Imaging,mice bearing MDA-MB-468 tumors,MDA-MB-468 cells,=,7.4–11.1 ,MBq,24h,,"Renal excretion is predominant, supplemented by hepatic and biliary excretion",,,,,,,,,BIOR02047,,,
BIO02047,Imaging,mice bearing MDA-MB-468 tumors,MDA-MB-468 cells,=,7.4–11.1 ,MBq,48h,,"Renal excretion is predominant, supplemented by hepatic and biliary excretion",,,,,,,,,BIOR02047,,,
BIO02047,Imaging,mice bearing MDA-MB-468 tumors,MDA-MB-468 cells,=,7.4–11.1 ,MBq,72h,,"Renal excretion is predominant, supplemented by hepatic and biliary excretion",,,,,,,,,BIOR02047,,,
BIO02047,Imaging,mice bearing MDA-MB-468 tumors,MDA-MB-468 cells,=,7.4–11.1 ,MBq,96h,,"Renal excretion is predominant, supplemented by hepatic and biliary excretion",,,,,,,,,BIOR02047,,,
BIO02047,Imaging,mice bearing MDA-MB-468 tumors,MDA-MB-468 cells,=,7.4–11.1 ,MBq,120h,,"Renal excretion is predominant, supplemented by hepatic and biliary excretion",,,,,,,,,BIOR02047,,,
BIO04761,Imaging,mice bearing NCI-N87 tumors,NCI-N87 cell,=,7.4–11.1 ,MBq,6h,,"Renal excretion is predominant, supplemented by hepatic and biliary excretion",,,,,,,,,BIOR04761,,,
BIO04761,Imaging,mice bearing NCI-N87 tumors,NCI-N87 cell,=,7.4–11.1 ,MBq,12h,,"Renal excretion is predominant, supplemented by hepatic and biliary excretion",,,,,,,,,BIOR04761,,,
BIO04761,Imaging,mice bearing NCI-N87 tumors,NCI-N87 cell,=,7.4–11.1 ,MBq,24h,,"Renal excretion is predominant, supplemented by hepatic and biliary excretion",,,,,,,,,BIOR04761,,,
BIO04761,Imaging,mice bearing NCI-N87 tumors,NCI-N87 cell,=,7.4–11.1 ,MBq,48h,,"Renal excretion is predominant, supplemented by hepatic and biliary excretion",,,,,,,,,BIOR04761,,,
BIO04761,Imaging,mice bearing NCI-N87 tumors,NCI-N87 cell,=,7.4–11.1 ,MBq,72h,,"Renal excretion is predominant, supplemented by hepatic and biliary excretion",,,,,,,,,BIOR04761,,,
BIO04761,Imaging,mice bearing NCI-N87 tumors,NCI-N87 cell,=,7.4–11.1 ,MBq,96h,,"Renal excretion is predominant, supplemented by hepatic and biliary excretion",,,,,,,,,BIOR04761,,,
BIO04761,Imaging,mice bearing NCI-N87 tumors,NCI-N87 cell,=,7.4–11.1 ,MBq,120h,,"Renal excretion is predominant, supplemented by hepatic and biliary excretion",,,,,,,,,BIOR04761,,,
BIO02048,Ex vivo biodistribution,mice bearing MDA-MB-468 tumors,MDA-MB-468 cells,=,7.4–11.1 ,MBq,120h,,"Renal excretion is predominant, supplemented by hepatic and biliary excretion",,,,,,,,,BIOR02048,"	High tumor uptake, significant liver uptake, specificity confirmed by blocking assay",,
BIO04762,Ex vivo biodistribution,mice bearing NCI-N87 tumors,NCI-N87 cell,=,7.4–11.1 ,MBq,120h,,"Renal excretion is predominant, supplemented by hepatic and biliary excretion",,,,,,,,,BIOR04762,"	High tumor uptake, significant liver uptake, specificity confirmed by blocking assay",,
BIO02049,Ex vivo biodistribution,Female Athymic Nude-Foxn1nu mice with subcutaneous HT1376 tumors,HT1376 cell,=,7.4–11.1 ,MBq,6h,,"Renal excretion is predominant, supplemented by hepatic and biliary excretion",,,,,,,,,BIOR02049,"The probe specifically accumulated in the Trop2 high expression bladder cancer model (HT1376), peaking at 48 hours with a long retention time. Uptake was significantly reduced in the low expression model (T24) and in the blocked group. Metabolized primarily by the liver.",,
BIO02049,Ex vivo biodistribution,Female Athymic Nude-Foxn1nu mice with subcutaneous HT1376 tumors,HT1376 cell,=,7.4–11.1 ,MBq,12h,,"Renal excretion is predominant, supplemented by hepatic and biliary excretion",,,,,,,,,BIOR02049,"The probe specifically accumulated in the Trop2 high expression bladder cancer model (HT1376), peaking at 48 hours with a long retention time. Uptake was significantly reduced in the low expression model (T24) and in the blocked group. Metabolized primarily by the liver.",,
BIO02049,Ex vivo biodistribution,Female Athymic Nude-Foxn1nu mice with subcutaneous HT1376 tumors,HT1376 cell,=,7.4–11.1 ,MBq,24h,,"Renal excretion is predominant, supplemented by hepatic and biliary excretion",,,,,,,,,BIOR02049,"The probe specifically accumulated in the Trop2 high expression bladder cancer model (HT1376), peaking at 48 hours with a long retention time. Uptake was significantly reduced in the low expression model (T24) and in the blocked group. Metabolized primarily by the liver.",,
BIO02049,Ex vivo biodistribution,Female Athymic Nude-Foxn1nu mice with subcutaneous HT1376 tumors,HT1376 cell,=,7.4–11.1 ,MBq,48h,,"Renal excretion is predominant, supplemented by hepatic and biliary excretion",,,,,,,,,BIOR02049,"The probe specifically accumulated in the Trop2 high expression bladder cancer model (HT1376), peaking at 48 hours with a long retention time. Uptake was significantly reduced in the low expression model (T24) and in the blocked group. Metabolized primarily by the liver.",,
BIO02049,Ex vivo biodistribution,Female Athymic Nude-Foxn1nu mice with subcutaneous HT1376 tumors,HT1376 cell,=,7.4–11.1 ,MBq,72h,,"Renal excretion is predominant, supplemented by hepatic and biliary excretion",,,,,,,,,BIOR02049,"The probe specifically accumulated in the Trop2 high expression bladder cancer model (HT1376), peaking at 48 hours with a long retention time. Uptake was significantly reduced in the low expression model (T24) and in the blocked group. Metabolized primarily by the liver.",,
BIO02049,Ex vivo biodistribution,Female Athymic Nude-Foxn1nu mice with subcutaneous HT1376 tumors,HT1376 cell,=,7.4–11.1 ,MBq,96h,,"Renal excretion is predominant, supplemented by hepatic and biliary excretion",,,,,,,,,BIOR02049,"The probe specifically accumulated in the Trop2 high expression bladder cancer model (HT1376), peaking at 48 hours with a long retention time. Uptake was significantly reduced in the low expression model (T24) and in the blocked group. Metabolized primarily by the liver.",,
BIO02049,Ex vivo biodistribution,Female Athymic Nude-Foxn1nu mice with subcutaneous HT1376 tumors,HT1376 cell,=,7.4–11.1 ,MBq,120h,,"Renal excretion is predominant, supplemented by hepatic and biliary excretion",,,,,,,,,BIOR02049,"The probe specifically accumulated in the Trop2 high expression bladder cancer model (HT1376), peaking at 48 hours with a long retention time. Uptake was significantly reduced in the low expression model (T24) and in the blocked group. Metabolized primarily by the liver.",,
BIO04815,Ex vivo biodistribution,Female Athymic Nude-Foxn1nu mice with subcutaneous T24 tumors,T24 cell,=,7.4–11.1 ,MBq,6h,,"Renal excretion is predominant, supplemented by hepatic and biliary excretion",,,,,,,,,BIOR04815,"The probe specifically accumulated in the Trop2 high expression bladder cancer model (HT1376), peaking at 48 hours with a long retention time. Uptake was significantly reduced in the low expression model (T24) and in the blocked group. Metabolized primarily by the liver.",,
BIO04815,Ex vivo biodistribution,Female Athymic Nude-Foxn1nu mice with subcutaneous T24 tumors,T24 cell,=,7.4–11.1 ,MBq,12h,,"Renal excretion is predominant, supplemented by hepatic and biliary excretion",,,,,,,,,BIOR04815,"The probe specifically accumulated in the Trop2 high expression bladder cancer model (HT1376), peaking at 48 hours with a long retention time. Uptake was significantly reduced in the low expression model (T24) and in the blocked group. Metabolized primarily by the liver.",,
BIO04815,Ex vivo biodistribution,Female Athymic Nude-Foxn1nu mice with subcutaneous T24 tumors,T24 cell,=,7.4–11.1 ,MBq,24h,,"Renal excretion is predominant, supplemented by hepatic and biliary excretion",,,,,,,,,BIOR04815,"The probe specifically accumulated in the Trop2 high expression bladder cancer model (HT1376), peaking at 48 hours with a long retention time. Uptake was significantly reduced in the low expression model (T24) and in the blocked group. Metabolized primarily by the liver.",,
BIO04815,Ex vivo biodistribution,Female Athymic Nude-Foxn1nu mice with subcutaneous T24 tumors,T24 cell,=,7.4–11.1 ,MBq,48h,,"Renal excretion is predominant, supplemented by hepatic and biliary excretion",,,,,,,,,BIOR04815,"The probe specifically accumulated in the Trop2 high expression bladder cancer model (HT1376), peaking at 48 hours with a long retention time. Uptake was significantly reduced in the low expression model (T24) and in the blocked group. Metabolized primarily by the liver.",,
BIO04815,Ex vivo biodistribution,Female Athymic Nude-Foxn1nu mice with subcutaneous T24 tumors,T24 cell,=,7.4–11.1 ,MBq,72h,,"Renal excretion is predominant, supplemented by hepatic and biliary excretion",,,,,,,,,BIOR04815,"The probe specifically accumulated in the Trop2 high expression bladder cancer model (HT1376), peaking at 48 hours with a long retention time. Uptake was significantly reduced in the low expression model (T24) and in the blocked group. Metabolized primarily by the liver.",,
BIO04815,Ex vivo biodistribution,Female Athymic Nude-Foxn1nu mice with subcutaneous T24 tumors,T24 cell,=,7.4–11.1 ,MBq,96h,,"Renal excretion is predominant, supplemented by hepatic and biliary excretion",,,,,,,,,BIOR04815,"The probe specifically accumulated in the Trop2 high expression bladder cancer model (HT1376), peaking at 48 hours with a long retention time. Uptake was significantly reduced in the low expression model (T24) and in the blocked group. Metabolized primarily by the liver.",,
BIO04815,Ex vivo biodistribution,Female Athymic Nude-Foxn1nu mice with subcutaneous T24 tumors,T24 cell,=,7.4–11.1 ,MBq,120h,,"Renal excretion is predominant, supplemented by hepatic and biliary excretion",,,,,,,,,BIOR04815,"The probe specifically accumulated in the Trop2 high expression bladder cancer model (HT1376), peaking at 48 hours with a long retention time. Uptake was significantly reduced in the low expression model (T24) and in the blocked group. Metabolized primarily by the liver.",,
BIO02050,Imaging,Female Athymic Nude-Foxn1nu mice with subcutaneous HT1376 tumors,HT1376 cell,=,7.4–11.1 ,MBq,6h,,"Renal excretion is predominant, supplemented by hepatic and biliary excretion",,,,,,,,,BIOR02050,,,
BIO02050,Imaging,Female Athymic Nude-Foxn1nu mice with subcutaneous HT1376 tumors,HT1376 cell,=,7.4–11.1 ,MBq,12h,,"Renal excretion is predominant, supplemented by hepatic and biliary excretion",,,,,,,,,BIOR02050,,,
BIO02050,Imaging,Female Athymic Nude-Foxn1nu mice with subcutaneous HT1376 tumors,HT1376 cell,=,7.4–11.1 ,MBq,24h,,"Renal excretion is predominant, supplemented by hepatic and biliary excretion",,,,,,,,,BIOR02050,,,
BIO02050,Imaging,Female Athymic Nude-Foxn1nu mice with subcutaneous HT1376 tumors,HT1376 cell,=,7.4–11.1 ,MBq,48h,,"Renal excretion is predominant, supplemented by hepatic and biliary excretion",,,,,,,,,BIOR02050,,,
BIO02050,Imaging,Female Athymic Nude-Foxn1nu mice with subcutaneous HT1376 tumors,HT1376 cell,=,7.4–11.1 ,MBq,72h,,"Renal excretion is predominant, supplemented by hepatic and biliary excretion",,,,,,,,,BIOR02050,,,
BIO02050,Imaging,Female Athymic Nude-Foxn1nu mice with subcutaneous HT1376 tumors,HT1376 cell,=,7.4–11.1 ,MBq,96h,,"Renal excretion is predominant, supplemented by hepatic and biliary excretion",,,,,,,,,BIOR02050,,,
BIO02050,Imaging,Female Athymic Nude-Foxn1nu mice with subcutaneous HT1376 tumors,HT1376 cell,=,7.4–11.1 ,MBq,120h,,"Renal excretion is predominant, supplemented by hepatic and biliary excretion",,,,,,,,,BIOR02050,,,
BIO04816,Imaging,Female Athymic Nude-Foxn1nu mice with subcutaneous T24 tumors,T24 cell,=,7.4–11.1 ,MBq,6h,,"Renal excretion is predominant, supplemented by hepatic and biliary excretion",,,,,,,,,BIOR04816,,,
BIO04816,Imaging,Female Athymic Nude-Foxn1nu mice with subcutaneous T24 tumors,T24 cell,=,7.4–11.1 ,MBq,12h,,"Renal excretion is predominant, supplemented by hepatic and biliary excretion",,,,,,,,,BIOR04816,,,
BIO04816,Imaging,Female Athymic Nude-Foxn1nu mice with subcutaneous T24 tumors,T24 cell,=,7.4–11.1 ,MBq,24h,,"Renal excretion is predominant, supplemented by hepatic and biliary excretion",,,,,,,,,BIOR04816,,,
BIO04816,Imaging,Female Athymic Nude-Foxn1nu mice with subcutaneous T24 tumors,T24 cell,=,7.4–11.1 ,MBq,48h,,"Renal excretion is predominant, supplemented by hepatic and biliary excretion",,,,,,,,,BIOR04816,,,
BIO04816,Imaging,Female Athymic Nude-Foxn1nu mice with subcutaneous T24 tumors,T24 cell,=,7.4–11.1 ,MBq,72h,,"Renal excretion is predominant, supplemented by hepatic and biliary excretion",,,,,,,,,BIOR04816,,,
BIO04816,Imaging,Female Athymic Nude-Foxn1nu mice with subcutaneous T24 tumors,T24 cell,=,7.4–11.1 ,MBq,96h,,"Renal excretion is predominant, supplemented by hepatic and biliary excretion",,,,,,,,,BIOR04816,,,
BIO04816,Imaging,Female Athymic Nude-Foxn1nu mice with subcutaneous T24 tumors,T24 cell,=,7.4–11.1 ,MBq,120h,,"Renal excretion is predominant, supplemented by hepatic and biliary excretion",,,,,,,,,BIOR04816,,,
BIO02053,Imaging,NOD SCID gamma (NSG) mice with disseminated MM.1S-CG tumors,MM.1S-CG cell,=,1– 1.11 ,MBq,7d,Rapid clearance of blood,Mainly excreted through the kidneys,,,,,,,,,BIOR02053,,,
BIO02054,Ex vivo biodistribution,NOD SCID gamma (NSG) mice with disseminated MM.1S-CG tumors,MM.1S-CG cell,=,1– 1.11 ,MBq,7d,Rapid clearance of blood,Mainly excreted through the kidneys,,,,,,,,,BIOR02054,"High specific uptake in bone tissue, significant uptake in liver and spleen, blocking assay confirms specificity",,
BIO02055,Ex vivo biodistribution,Nude mice with A549 subcutaneous tumors,A549 cells,=,0.37,MBq,2d,,Mainly excreted through the liver and gallbladder,,,,,,,,,BIOR02055,Higher tumor uptake with pre-injection of cold L111; reduced liver uptake,,
BIO02055,Ex vivo biodistribution,Nude mice with A549 subcutaneous tumors,A549 cells,=,0.37,MBq,5d,,Mainly excreted through the liver and gallbladder,,,,,,,,,BIOR02055,Higher tumor uptake with pre-injection of cold L111; reduced liver uptake,,
BIO02056,Imaging,Nude mice with A549 subcutaneous tumors,A549 cells,=,7.4,MBq,2d,,Mainly excreted through the liver and gallbladder,,,,,,,,,BIOR02056,,,
BIO02056,Imaging,Nude mice with A549 subcutaneous tumors,A549 cells,=,7.4,MBq,5d,,Mainly excreted through the liver and gallbladder,,,,,,,,,BIOR02056,,,
BIO04763,Ex vivo biodistribution,Nude mice with H460 subcutaneous tumors,H460 cell,=,0.37,MBq,2d,,Mainly excreted through the liver and gallbladder,,,,,,,,,BIOR04763,Higher tumor uptake with pre-injection of cold L111; reduced liver uptake,,
BIO04763,Ex vivo biodistribution,Nude mice with H460 subcutaneous tumors,H460 cell,=,0.37,MBq,5d,,Mainly excreted through the liver and gallbladder,,,,,,,,,BIOR04763,Higher tumor uptake with pre-injection of cold L111; reduced liver uptake,,
BIO04764,Imaging,Nude mice with H460 subcutaneous tumors,H460 cell,=,7.4,MBq,2d,,Mainly excreted through the liver and gallbladder,,,,,,,,,BIOR04764,,,
BIO04764,Imaging,Nude mice with H460 subcutaneous tumors,H460 cell,=,7.4,MBq,5d,,Mainly excreted through the liver and gallbladder,,,,,,,,,BIOR04764,,,
BIO02057,Ex vivo biodistribution,Mice bearing H82 xenografts (SCLC),H82 cell,=,~230, μCi,120h,,"Renal excretion is predominant, supplemented by hepatic and biliary excretion",,,,,,,,,BIOR02057,"High tumor uptake, elevated kidney uptake due to potential retro-Michael reactions",,
BIO02058,Imaging,Mice bearing H82 xenografts (SCLC),H82 cell,=,~230, μCi,24h,,"Renal excretion is predominant, supplemented by hepatic and biliary excretion",,,,,,,,,BIOR02058,,,
BIO02058,Imaging,Mice bearing H82 xenografts (SCLC),H82 cell,=,~230, μCi,72h,,"Renal excretion is predominant, supplemented by hepatic and biliary excretion",,,,,,,,,BIOR02058,,,
BIO02058,Imaging,Mice bearing H82 xenografts (SCLC),H82 cell,=,~230, μCi,120h,,"Renal excretion is predominant, supplemented by hepatic and biliary excretion",,,,,,,,,BIOR02058,,,
BIO02059,Ex vivo biodistribution,Mice bearing H82 xenografts (SCLC),H82 cell,=,~230, μCi,120h,Slow blood clearance,Mainly excreted through the liver and gallbladder,,,,,,,,,BIOR02059,"High tumor uptake, reduced kidney uptake due to stable linkage",,
BIO02060,Imaging,Mice bearing H82 xenografts (SCLC),H82 cell,=,~230, μCi,24h,Slow blood clearance,Mainly excreted through the liver and gallbladder,,,,,,,,,BIOR02060,,,
BIO02060,Imaging,Mice bearing H82 xenografts (SCLC),H82 cell,=,~230, μCi,72h,Slow blood clearance,Mainly excreted through the liver and gallbladder,,,,,,,,,BIOR02060,,,
BIO02060,Imaging,Mice bearing H82 xenografts (SCLC),H82 cell,=,~230, μCi,120h,Slow blood clearance,Mainly excreted through the liver and gallbladder,,,,,,,,,BIOR02060,,,
BIO02061,Imaging,NOD/SCID mice,,=,7.4,MBq,30min,,"Renal excretion is predominant, supplemented by hepatic and biliary excretion",,,,,,,,,BIOR02061,Specific accumulation in PD-L1-positive tumors; reduced by blocking with unlabeled WL12,,
BIO02061,Imaging,NOD/SCID mice,,=,7.4,MBq,60min,,"Renal excretion is predominant, supplemented by hepatic and biliary excretion",,,,,,,,,BIOR02061,Specific accumulation in PD-L1-positive tumors; reduced by blocking with unlabeled WL12,,
BIO02061,Imaging,NOD/SCID mice,,=,7.4,MBq,120min,,"Renal excretion is predominant, supplemented by hepatic and biliary excretion",,,,,,,,,BIOR02061,Specific accumulation in PD-L1-positive tumors; reduced by blocking with unlabeled WL12,,
BIO02067,Ex vivo biodistribution,BALB/C nude mice bearing U87MG tumors,U87MG cells,=,1.85,MBq,5min,,Mainly excreted through the kidneys,,1.16 ± 0.09,2.04 ± 0.16,0.23 ± 0.007,,4.25 ± 0.46,2.74 ± 0.73,3.78 ± 1.26,BIOR02067,"Rapid blood clearance, high renal uptake, higher tumor uptake and slower clearance",,
BIO02067,Ex vivo biodistribution,BALB/C nude mice bearing U87MG tumors,U87MG cells,=,1.85,MBq,30min,,Mainly excreted through the kidneys,,2.43 ± 1.69,5.31 ± 2.79,0.23 ± 0.008,,6.39 ± 4.69,5.54 ± 5.48,7.25 ± 4.63,BIOR02067,"Rapid blood clearance, high renal uptake, higher tumor uptake and slower clearance",,
BIO02067,Ex vivo biodistribution,BALB/C nude mice bearing U87MG tumors,U87MG cells,=,1.85,MBq,60min,,Mainly excreted through the kidneys,,27.18 ± 4.95,16.61 ± 1.84,0.26 ± 0.003,,15.74 ± 0.52,23.00 ± 0.88,49.83 ± 0.52,BIOR02067,"Rapid blood clearance, high renal uptake, higher tumor uptake and slower clearance",,
BIO02067,Ex vivo biodistribution,BALB/C nude mice bearing U87MG tumors,U87MG cells,=,1.85,MBq,120min,,Mainly excreted through the kidneys,,17.80 ± 5.20,6.36 ± 2.26,0.17 ± 0.003,,5.56 ± 0.44,9.89 ± 0.22,17.80 ± 0.06,BIOR02067,"Rapid blood clearance, high renal uptake, higher tumor uptake and slower clearance",,
BIO02068,Imaging,BALB/C nude mice bearing U87MG tumors,U87MG cells,=,,,30min,,Mainly excreted through the kidneys,,,,,,,,,BIOR02068,,,
