activity_id,drug_id,pmid,doi,clinical_trial_number,indication,patients,frequency,dosage,clinical_endpoint,endpoint_period,purpose,results_description,efficacy_description,security_indicators,adverse_events_summary,created_at,updated_at
HU0457,RDC02690,,10.1182/blood-2018-99-110555,,Non-Hodgkin's lymphoma,,,,ORR,61%,Efficacy,,"Promising antitumor activity in relapsed indolent non-Hodgkin's lymphoma, with an overall response rate of 61%",,,,
HU0458,RDC02690,,10.1182/blood-2018-99-110555,,Non-Hodgkin's lymphoma,,,,CR,26%,Efficacy,,"Promising antitumor activity in relapsed indolent non-Hodgkin's lymphoma, with 26% complete response",,,,
HU0459,RDC02690,,10.1182/blood-2018-99-110555,,Non-Hodgkin's lymphoma,,,,DOR,13.3 months,Efficacy,,"FL and MZL subtypes have favorable responses, and median duration of response is 13.3 m (20.5 m for CR), with 35% of patients progression-free for >12 m",,,,
HU0460,RDC02710,25150258,10.3324/haematol.2014.112110,,Non-Hodgkin's lymphoma,"A total of 18 patients with relapsed/refractory aggressive non-Hodgkin's lymphoma (9 diffuse large B-cell, 5 mantle cell, 4 transformed follicular) were enrolled, with median age 73 (52-84), median 3 prior treatments (1-7), ECOG score 0-1, no prior stem cell transplantation, and eligible laboratory and clinical criteria",two times（15d，22d）,15 mCi/m²,Dose limiting toxicity (DLT),,"To determine the toxicity threshold at which the dose cannot be safely escalated further in clinical trials, and to define the maximum tolerated dose (MTD).",Cytopenia and neutropenia were dose-limiting.,,,,,
HU0461,RDC02710,25150258,10.3324/haematol.2014.112110,,Non-Hodgkin's lymphoma,"A total of 18 patients with relapsed/refractory aggressive non-Hodgkin's lymphoma (9 diffuse large B-cell, 5 mantle cell, 4 transformed follicular) were enrolled, with median age 73 (52-84), median 3 prior treatments (1-7), ECOG score 0-1, no prior stem cell transplantation, and eligible laboratory and clinical criteria",two times（15d，22d）,15 mCi/m²,Safety,,To evaluate the safety,"Treatment-related events occurred in 83% of patients, mostly grade 1–2 except cytopenia and two pneumonia cases; only fatigue, nausea and anorexia affected multiple patients.",,Hematological parameters,Serious adverse events occurred in 5 patients.,,
HU0462,RDC02710,25150258,10.3324/haematol.2014.112110,,Non-Hodgkin's lymphoma,"A total of 18 patients with relapsed/refractory aggressive non-Hodgkin's lymphoma (9 diffuse large B-cell, 5 mantle cell, 4 transformed follicular) were enrolled, with median age 73 (52-84), median 3 prior treatments (1-7), ECOG score 0-1, no prior stem cell transplantation, and eligible laboratory and clinical criteria",two times（15d，22d）,15 mCi/m²,Efficacy,,To evaluate the therapeutic activity,"At the 4-week post-treatment assessment, of 17 patients, 1 had CR, 8 PR, 4 SD, 4 PD, with 2 possible mixed responses (one patient’s lower extremity lesions improved but intestinal lymphoma worsened on PET).",,,Serious adverse events occurred in 5 patients.,,
HU0463,RDC02710,25150258,10.3324/haematol.2014.112110,,Non-Hodgkin's lymphoma,"A total of 18 patients with relapsed/refractory aggressive non-Hodgkin's lymphoma (9 diffuse large B-cell, 5 mantle cell, 4 transformed follicular) were enrolled, with median age 73 (52-84), median 3 prior treatments (1-7), ECOG score 0-1, no prior stem cell transplantation, and eligible laboratory and clinical criteria",two times（15d，22d）,15 mCi/m²,Efficacy,,To evaluate the therapeutic activity,"At the 4-week post-treatment assessment, of 17 patients, 1 had CR, 8 PR, 4 SD, 4 PD, with 2 possible mixed responses (one patient’s lower extremity lesions improved but intestinal lymphoma worsened on PET).",,,Serious adverse events occurred in 5 patients.,,
HU0464,RDC02710,25150258,10.3324/haematol.2014.112110,,Non-Hodgkin's lymphoma,"A total of 18 patients with relapsed/refractory aggressive non-Hodgkin's lymphoma (9 diffuse large B-cell, 5 mantle cell, 4 transformed follicular) were enrolled, with median age 73 (52-84), median 3 prior treatments (1-7), ECOG score 0-1, no prior stem cell transplantation, and eligible laboratory and clinical criteria",two times（15d，22d）,15 mCi/m²,ORR,53%,To evaluate the therapeutic activity,The overall objective response rate (complete + partial response) was 53% (9/17),,,Serious adverse events occurred in 5 patients.,,
HU0465,RDC02710,25150258,10.3324/haematol.2014.112110,,Non-Hodgkin's lymphoma,"A total of 18 patients with relapsed/refractory aggressive non-Hodgkin's lymphoma (9 diffuse large B-cell, 5 mantle cell, 4 transformed follicular) were enrolled, with median age 73 (52-84), median 3 prior treatments (1-7), ECOG score 0-1, no prior stem cell transplantation, and eligible laboratory and clinical criteria",two times（15d，22d）,15 mCi/m²,Complete response rate,18%,To evaluate the therapeutic activity,the complete response rate was 18% (3/17),,,Serious adverse events occurred in 5 patients.,,
HU0466,RDC02710,25150258,10.3324/haematol.2014.112110,,Non-Hodgkin's lymphoma,"A total of 18 patients with relapsed/refractory aggressive non-Hodgkin's lymphoma (9 diffuse large B-cell, 5 mantle cell, 4 transformed follicular) were enrolled, with median age 73 (52-84), median 3 prior treatments (1-7), ECOG score 0-1, no prior stem cell transplantation, and eligible laboratory and clinical criteria",two times（15d，22d）,15 mCi/m²,Stable disease,24%,To evaluate the therapeutic activity,an additional 4 patients (24%) achieved stable disease.,,,Serious adverse events occurred in 5 patients.,,
HU0467,RDC02710,25150258,10.3324/haematol.2014.112110,,Non-Hodgkin's lymphoma,"A total of 18 patients with relapsed/refractory aggressive non-Hodgkin's lymphoma (9 diffuse large B-cell, 5 mantle cell, 4 transformed follicular) were enrolled, with median age 73 (52-84), median 3 prior treatments (1-7), ECOG score 0-1, no prior stem cell transplantation, and eligible laboratory and clinical criteria",two times（15d，22d）,15 mCi/m²,Biodistribution,,To evaluate the biodistribution,"Scintigraphy at 7 days showed normal biodistribution in all patients, with no signs of accelerated clearance, splenic closure, or altered organ uptake/redistribution.",,,Serious adverse events occurred in 5 patients.,,
HU0468,RDC02710,25150258,10.3324/haematol.2014.112110,,Non-Hodgkin's lymphoma,"A total of 18 patients with relapsed/refractory aggressive non-Hodgkin's lymphoma (9 diffuse large B-cell, 5 mantle cell, 4 transformed follicular) were enrolled, with median age 73 (52-84), median 3 prior treatments (1-7), ECOG score 0-1, no prior stem cell transplantation, and eligible laboratory and clinical criteria",two times（15d，22d）,15 mCi/m²,pharmacokinetic,,To evaluate the pharmacokinetic,"After initial infusion, serum vibtuzumab levels rose then declined; post-last infusion pharmacokinetics showed Cmax 190.1±43.3 μg/mL, terminal half-life 21.1±6.0 days, AUC 4117±1671 day·μg/mL, and clearance 59.5±34.5 mL/day/m². Serum eptuzumab concentrations fell within one week with a half-life of 96.5±21.0 hours.",,,,,
HU0469,RDC01237,34161051,10.1056/NEJMoa2107322,NCT03511664,Metastatic castration-resistant prostate cancer,Patients With Progressive PSMA-positive Metastatic Castration-resistant Prostate Cancer (mCRPC),every 6 weeks for four to six cycles,7.4 GBq,median PFS,8.7 months,,"Progression-free survival (median, 8.7 vs. 3.4 months; hazard ratio for progression or death, 0.40; 99.2% confidence interval [CI], 0.29 to 0.57; P<0.001)",Radioligand therapy with [177]Lu-PSMA-617 prolonged imaging-based progression-free survival and overall survival when added to standard care in patients with advanced PSMA-positive metastatic castration-resistant prostate cancer.,Progression-free Survival and Overall Survival,,,
HU0470,RDC01237,34161051,10.1056/NEJMoa2107322,NCT03511664,Metastatic castration-resistant prostate cancer,Patients With Progressive PSMA-positive Metastatic Castration-resistant Prostate Cancer (mCRPC),every 6 weeks for four to six cycles,7.4 GBq,median OS,15.3 months,,"Overall survival (median, 15.3 vs. 11.3 months; hazard ratio for death, 0.62; 95% CI, 0.52 to 0.74; P<0.001)",,,,,
HU0471,RDC01237,39466634,10.1097/RLU.0000000000005503,,Metastatic castration-resistant prostate cancer,Patient With Prostate Cancer Sciatic Nerve Metastasis,,7.4 GBq,,,Safety,No additional toxicity was added to the sciatic nerve from 177 Lu-PSMA after stereotactic radiotherapy.,No additional toxicity was added to the sciatic nerve from 177 Lu-PSMA after stereotactic radiotherapy.,,,,
HU0472,RDC01237,39299783,10.2967/jnumed.124.267723,,Metastatic castration-resistant prostate cancer,Patients With Metastatic castration-resistant prostate cancer,,,PSA response,74%,To evaluate the efficacy,A PSA response was achieved in 30 of 74 (41%) patients.,,,,,
HU0473,RDC01237,39299783,10.2967/jnumed.124.267723,,Metastatic castration-resistant prostate cancer,Patients With Metastatic castration-resistant prostate cancer,,,median PFS,4.1 months,To evaluate the efficacy,"The median PSA PFS was 4.1 mo (95% CI, 2.0–6.2 mo)",,,,,
HU0474,RDC01237,39299783,10.2967/jnumed.124.267723,,Metastatic castration-resistant prostate cancer,Patients With Metastatic castration-resistant prostate cancer,,,,13.7 months,To evaluate the efficacy,"The median OS was 13.7 mo (95% CI, 11.3–16.1 mo).",,,,,
HU0475,RDC01237,39293462,10.1016/S0140-6736(24)01653-2,NCT04689828,Metastatic castration-resistant prostate cancer,Patients With Metastatic castration-resistant prostate cancer,once every 6 weeks (1 cycle) for 6 cycles,7.4 GBq (200 mCi) +/- 10%,Radiographic Progression Free Survival (rPFS),,To investigate the efficacy of 177Lu-PSMA-617 in patients with taxane-naive metastatic castration-resistant prostate cancer.,"[177]Lu-PSMA-617 prolonged radiographic progression-free survival relative to ARPI change, with a favourable safety profile.",,,,,
HU0476,RDC01237,38662984,10.1200/PO.23.00634,,Metastatic castration-resistant prostate cancer,Patients With Metastatic castration-resistant prostate cancer,at least one cycle,,To evaluate associations between mCRPC mutational profile with LuPSMA clinical outcomes.,,To evaluate the efficacy,"the presence of ≥1 TSG mutation was associated with shorter PSA PFS (hazard ratio [HR], 1.93 [95% CI, 1.05 to 3.54]; P =0.034) and OS (HR, 2.65 [95% CI, 1.15 to 6.11]; P =0.023).",," PSA progression free survival (PSA PFS), and overall survival (OS)",,,
HU0477,RDC01237,39302840,10.1080/09553002.2024.2404448,,Metastatic castration-resistant prostate cancer,prostate cancer patients,,6.62±0.36 GBq,Absorbed doses in critical organs,,,"the mean ADs to the liver, spleen, right and left kidneys, and tumor lesions were 0.11 ± 0.04 Gy/GBq, 0.08 ± 0.03 Gy/GBq, 0.34 ± 0.09 Gy/GBq, 0.34 ± 0.10 Gy/GBq, and 0.83 ± 0.54 Gy/GBq",,,,,
HU0478,RDC01237,39302840,10.1080/09553002.2024.2404448,,Metastatic castration-resistant prostate cancer,prostate cancer patients,,6.62±0.36 GBq,Safety,,Absorbable dose (AD) using dose agents and cumulative activity in organ-threatening and neoplastic lesions,,Increasing the administered activity of [177]Lu-PSMA-617 RLT is feasible and does not pose a significant risk of adverse effects on OARs,,,,
HU0479,RDC01237,37760574,10.3390/cancers15184605,,Oligometastatic Castration-Resistant Prostate Cancer,Patients With Metastatic castration-resistant prostate cancer,4-6 cycles ,6.0-7.4GBq,,,the efficacy and safety,grade ≥3 hematological or renal toxicities,Intermittent [177]Lu-PSMA-617 radioligand therapy in early responders with oligometastatic castration-resistant prostate cancer seems to not compromise survival outcome,grade ≥3 hematological or renal toxicities,,,
HU0480,RDC01237,36551641,10.3390/cancers14246155,,Metastatic castration-resistant prostate cancer,Patients With Metastatic castration-resistant prostate cancer,,,Median PFS,4.9 months (2.4-9.6),The efficacy and impact of a four-week treatment interval on patient outcome and safety were investigated.,,,,,,
HU0481,RDC01237,36551641,10.3390/cancers14246155,,Metastatic castration-resistant prostate cancer,Patients With Metastatic castration-resistant prostate cancer,,,Median OS,17.2 months (6-26.4),The efficacy and impact of a four-week treatment interval on patient outcome and safety were investigated.,,,,,,
HU0482,RDC01237,36551641,10.3390/cancers14246155,,Metastatic castration-resistant prostate cancer,Patients With Metastatic castration-resistant prostate cancer,,,Safety,,,There were no major adverse events reported.,,,,,
HU0483,RDC01237,34887335,10.2967/jnumed.121.262713,,Metastatic castration-resistant prostate cancer,Patients With Metastatic castration-resistant prostate cancer,,6.5±1.1GBq,The mean absorbed doses,,"To determine the safety, kinetics, and dosimetry of the 177Lu-labeled prostate-specific membrane antigen (PSMA) small molecules 177Lu-PSMA I&T and 177Lu-PSMA-617 in a large cohort of patients with mCRPC.","The mean whole-body dose of 177Lu-PSMA-617 (cp-s) was higher than that of 177Lu-PSMA I&T (cp-t) (0.04 vs. 0.03 Gy/GBq, P < 0.00001). the renal dose was lower for cp-s than for cp-t (0.77 vs. 0.92 Gy/GBq, P = 0.0015). Both dose to the parotid glands (0.5 Gy/GBq, P = 0.27).  the lacrimal glands (5.1 and 3.7 Gy/GBq) for cp-s and cp-t. All tumor metastases exhibited a higher initial uptake when using cp-t than when using cp-s, as well as a shorter tumor half-life (P < 0.00001). The mean absorbed tumor doses were comparable for both cp-t and cp-s (5.8 vs. 5.9 Gy/GBq, P = 0.96).",,,,,
HU0484,RDC01237,35403915,10.1186/s13550-022-00891-1,,Metastatic castration-resistant prostate cancer,Patients With Metastatic castration-resistant prostate cancer,At least two cycles,6GBq,HP,,To assess potential relations between impairment of haematological status and response to PSMA-RLT.,Biochemical non-responders showed a significant decrease in % HP (p ≤ 0.001) while HP in biochemical responders remained stable (p ≥ 0.079).,"patients with already advanced mCRPC, non-response to PSMA-RLT may be a major cause of bone marrow impairment during early treatment cycles.",haematological parameters (HP),,,
HU0485,RDC01237,34842950,10.1007/s00259-021-05618-3,,Metastatic castration-resistant prostate cancer,chemotherapy-naïve mCRPC patients,"every 8 weeks, up to 4 cycles",6.0-7.4GBq,Best prostate-specific antigen response rate (PSA-RR),60%,to compare the efficacy and safety of 177Lu-PSMA-617 and docetaxel in chemotherapy-naïve mCRPC patients,"Best PSA-RR in the 177Lu-PSMA-617 arm was 60% (9/15) versus 40% (8/20) in the docetaxel arm. The difference in the PSA-RRs between the two arms was 20% (95% confidence interval, CI: - 12-47, P = 0.25), meeting the pre-specified criterion for non-inferiority in per-protocol analysis.",[177]Lu-PSMA-617 with an acceptable safety profile.,"PSA-RR, progression-free survival rates",,,
HU0486,RDC01237,34653057,10.1097/RLU.0000000000003912,,Metastatic castration-resistant prostate cancer,"metastatic prostate cancer with comorbidities of diabetes mellitus, hypertension, and chronic kidney disease. ",,4GBq,Efficacy,,,,Excellent Response to Adapted Low-Dose 177Lu-PSMA-617 PSMA Therapy in Renal Compromise Patient,,,,
HU0487,RDC01237,35158825,10.3390/cancers14030557,,Metastatic castration-resistant prostate cancer,Patients With Metastatic castration-resistant prostate cancer,,6.5±1.2GBq,OS,28 months,To evaluate safety and efficacy of [177]Lu-PSMA-617 within less than 8 weeks after failing 223Ra.,"Patients with low bone tumor burden (2-20 lesions) had a significantly longer OS (28 vs. 14 months, p < 0.045) compared to patients with a high tumor burden (>20 lesions).",RLT with 177Lu-PSMA-617 can be effectively and safely initiated as early as 8 weeks after failure of 223Ra in patients with progressive bone-metastatic mCRPC refractory to 223Ra.,,,,
HU0488,RDC01237,34218300,10.1007/s00259-021-05471-4,,low-volume hormone-sensitive metastatic prostate cancer,low-volume hormone-sensitive metastatic prostate cancer patients,two cycles,3-6GBq,The mean absorbed doses,,"To determine the kinetics of [177Lu]Lu-PSMA in mHSPC patients, analyzing the doses to organs at risk and tumor lesions < 1 cm diameter.","Lesion absorbed dose was high (3.25 ± 3.19 Gy/GBq), organ absorbed dose (salivary glands: 0.39 ± 0.17 Gy/GBq, kidneys: 0.49 ± 0.11 Gy/GBq, liver: 0.09 ± 0.01 Gy/GBq, bone marrow: 0.017 ± 0.008 Gy/GBq).",the kinetics of [177Lu]Lu-PSMA-617 are comparable to those in high-volume mCRPC patients.,Organ dosimetry and lesion dosimetry,,,
HU0489,RDC01237,35008315,10.3390/cancers14010149,,Metastatic castration-resistant prostate cancer,Patients With Metastatic castration-resistant prostate cancer,,6GBq,Prognostic value of early PSA measurements,,To assess the prognostic value of early PSA measurements during PSMA-RLT,"At c1w4, ∆%PSA ≤ −30% was associated with the biochemical response at w16 (p = 0.003) and a longer median OS (p = 0.025), whereas the PCWG3-derived threshold of ∆%PSA ≤ −50% showed no such correlation.","PSA changes as early as four weeks after PSMA-RLT allow a significant prediction of later biochemical and PET-based imaging response, as well as OS.","∆%PSA, biochemical response (BR), tumor volume on PET (TV), overall survival (OS)",,,
HU0490,RDC01237,34272322,10.2967/jnumed.121.262543,,progressive metastatic castration-resistant prostate cancer,Patients with progressive metastatic castration-resistant prostate cancer,up to a maximum of 4 cycles,6.0 or 7.4GBq,Safety Evaluation,,To report the safety evaluation of [177]Lu-PSMA-617,"Incidence of any AE was comparable between the groups: 22/23 (95.7%), 39/41 (95.1%), and 61/64 (95.3%) in the 6.0-GBq group, the 7.4-GBq group, and overall, respectively.",[177]Lu-PSMA-617 was safe and well-tolerated,,,,
HU0491,RDC01237,34016732,10.2967/jnumed.121.261982,NCT03042312,progressive metastatic castration-resistant prostate cancer,Patients with progressive metastatic castration-resistant prostate cancer,up to a maximum of 4 cycles,6.0 or 7.4GBq,the PSA RR,,To determine prospectively the efficacy profile of 2 activity regimens of 177Lu-PSMA therapy in patients with mCRPC: 6.0 vs. 7.4 GBq.,"The PSA RRs were 11/40 (28%, 95% CI 15–44), 6/13 (46%, 95% CI 19–75), and 5/27 (19%, 95% CI 6–38), and 16/43 (37%, 95% CI 23–53), 7/14 (50%, 95% CI 23–77), and 9/29 (31%, 95% CI 15–51) in the whole cohort, the 6.0-GBq group, and the 7.4-GBq group, respectively (P = 0.12 and P = 0.31).",the median OS was 14 mo,"the PSA RR (≥50% decline) at any time (best response), overall survival (OS)",,,
HU0492,RDC01237,34016732,10.2967/jnumed.121.261982,NCT03042312,progressive metastatic castration-resistant prostate cancer,Patients with progressive metastatic castration-resistant prostate cancer,up to a maximum of 4 cycles,6.0 or 7.4GBq,OS,14 months,To determine prospectively the efficacy profile of 2 activity regimens of 177Lu-PSMA therapy in patients with mCRPC: 6.0 vs. 7.4 GBq.,The median OS was 14 mo,,,,,
HU0493,RDC01237,34439347,10.3390/cancers13164193,,Metastatic castration-resistant prostate cancer,patients with metastasized castration-resistant early-onset prostate cancer refractory to chemotherapy,4 cycles,7.7±1.4 GBq,PSA response,,To investigate the safety and efficacy of LuPSMA-RLT in chemo-refractory patients with metastasized castration-resistant EOPC.,An initial PSA reduction (≥ 50%) was observed in 9/25 (36%) of patients without being significantly associated with OS (p = 0.601).,The response to radioligand therapy with 177Lu-PSMA-617 seems to be independent of the presence of early-onset prostate cancer (EOPC),,,,
HU0494,RDC01237,34373733,10.7150/thno.60222,,Metastatic castration-resistant prostate cancer,Patients With Metastatic castration-resistant prostate cancer,,,"The average PSMA expression (mean SUVmax of all metastases), total tumor volume (PSMA-TV) and TLQ (quotients of tumor volume and SUVmean summed over all metastases)",,To evaluate whether early reduction in tumor volume is a positive prognosticator for OS. ,"Reduction in PSMA-TV was not a statistically significant positive prognosticator of OS in the total cohort (HR = 0.829 95%CI: 0.559 - 1.230, p = 0.352).In the subgroup of patients with PSMA-TV response, mean SUVmax was a statistically significant prognosticator of OS (binarized by median; HR = 0.15; 95%CI: 0.03 - 0.83; p < 0.05).",PSMA-TV reduction was a positive prognosticator of OS only if patients with low PSMA expression were excluded.,,,,
HU0495,RDC01237,34216290,10.1186/s13550-021-00805-7,,Metastatic castration-resistant prostate cancer,Patients With Metastatic castration-resistant prostate cancer,,6.9±1.3 GBq,Hematologic safety,,To estimate the safety,Hematotoxicity was reversible to grade ≤ 2 through a median follow-up of 8 (IQR 9) months in all but two patients who died from disease progression within less than 3 months after RLT.,Hematologic adverse events after RLT have an acceptable overall incidence and are frequently reversible.,,,,
HU0496,RDC01237,33128131,10.1007/s00259-020-05082-5,,Metastatic castration-resistant prostate cancer,Patients With Metastatic castration-resistant prostate cancer,3 cycles,7321 ± 592 MBq,PSA response,80.30%,Clinical factors that can predict response and survival to PSMA-RLT in homogeneous patient populations are sought,"Forty-nine (80.3%) patients demonstrated a therapy response in terms of any PSA decline,",,,,,
HU0497,RDC01237,33128131,10.1007/s00259-020-05082-5,,Metastatic castration-resistant prostate cancer,Patients With Metastatic castration-resistant prostate cancer,3 cycles,7321 ± 592 MBq,PSA response,19.70%,Clinical factors that can predict response and survival to PSMA-RLT in homogeneous patient populations are sought,21 (19.7%) patients showed increase or no changes in their PSA levels.,,,,,
HU0498,RDC01237,32378019,10.1007/s00259-020-04828-5,,liver metastases of metastatic castration-resistant prostate cancer,Patients With liver metastases of metastatic castration-resistant prostate cancer,4-6 cycles at 6±2-week intervals,6.5±0.5 GBq,median OS,6.4 months,To evaluate the efficacy,"Patients with hepatic disease control did not reach the median OS, while those with hepatic progressive disease had median OS (95% confidence interval) of 6.4 (1.6–11.1) months","[177]Lu-PSMA-617 RLT frequently controlled liver metastases, resulting in long PFShep and significantly improved OS.",,,,
HU0499,RDC01237,32062682,10.1007/s00259-020-04703-3,,Metastatic castration-resistant prostate cancer,Patients With Metastatic castration-resistant prostate cancer,"every 6 weeks, every 8 weeks","7.5 GBq, 6.0 GBq",PSA response,,To compare safety and efficacy of the two aforementioned [177Lu]Lu-PSMA-617 therapy regimes (7.5 GBq every 6 weeks vs. 6.0 GBq every 8 weeks).,"There was no significant difference comparing the rate of > 50% PSA decline or best PSA response between the 6.0 GBq and 7.5 GBq group (35% vs. 54%, p = 0.065; and - 40.2% vs. - 57.8%, p = 0.329)",Higher cumulated doses of [177Lu]Lu-PSMA-617 were well tolerated and caused no significantly increased rate of adverse reactions.,,,,
HU0500,RDC01237,31601703,10.2967/jnumed.119.233429,,liver metastases of castration-resistant prostate cancer,Patients With liver metastases of castration-resistant prostate cancer,the cycles were repeated after 7-8 wk.,6-7.5MBq,Median OS,5.7 months,To evaluate the efficacy of [177]Lu-PSMA-617 and  SIRT for the treatment of liver metastases of castration-resistant prostate cancer,5.7 mo for 177Lu-PSMA alone and 8.4 mo for combined sequential 177Lu-PSMA and SIRT,[177]Lu-PSMA alone seems to have limited response rates in the treatment of liver metastases,Median estimated survival,,,
HU0501,RDC01237,32049721,10.1097/RLU.0000000000002942,,Metastatic castration-resistant prostate cancer,Patients With Metastatic castration-resistant prostate cancer,4 to 6 cycles,,Absorbed doses in critical organs,,To determine the critical organ radiation-absorbed limitations and the number of prospective RLT,"0.70 ± 0.24 Gy/GBq for kidneys, 1.34 ± 0.78 Gy/GBq for parotid glands, 0.94 ± 0.45 Gy/GBq for submandibular glands, 2.28 ± 1.29 Gy/GBq for lacrimal glands.",,,,,
HU0502,RDC01237,31789908,10.1097/RLU.0000000000002833,,Metastatic castration-resistant prostate cancer,Patients With Metastatic castration-resistant prostate cancer,1 to 7 cycles,3.7 to 8GBq,PSA response,,To evaluate the efficacy and safety of Lu-PSMA-617 radioligand therapy in mCRPC,"At 2- to 3-month interval after the first therapy and the end of the assessment, greater than 50% decline in prostate-specific antigen was observed in 32.2% and 45.5%.",Lu-PSMA-617 radionuclide therapy is a safe and effective approach to the treatment of mCRPC patients.,,,,
HU0503,RDC01237,30850503,10.2967/jnumed.119.226449,,Metastatic castration-resistant prostate cancer,Patients With Metastatic castration-resistant prostate cancer,,,,,To show the effect of external cooling with ice packs on 177Lu-PSMA-617 uptake by the parotid glands (PGs).,There were no significant differences between the cooled and noncooled PGs (P > 0.05),External cooling does not reduce uptake of 177Lu-PSMA-617 by the PGs.,,,,
HU0504,RDC01237,30985436,10.1097/RLU.0000000000002561,,Metastatic castration-resistant prostate cancer,Patients With Metastatic castration-resistant prostate cancer,1 to 6 cycles,6 GBq,PSA response,,The present study summarizes the first experience with Lu-PSMA-617 treatment in metastatic castration-resistant prostate cancer in our institution.,The usage of analgesics decreased in 45% of the patients; maximum prostate-specific antigen decrease was 50% or greater(57%) and 90% or greater(24%) of the patients,These results confirm the favorable safety and efficacy profile of Lu-PSMA,,,,
HU0505,RDC01237,30474706,10.1007/s00259-018-4222-x,,Metastatic castration-resistant prostate cancer,Patients With Metastatic castration-resistant prostate cancer,,,Safety,,To assess the outcome and safety of rechallenge PSMA-RLT in patients with progressive prostatic cancer who previously benefited from this therapy,"Erious adverse events included leucopoenia (n = 2), neutropoenia (n = 1), anaemia (n = 4), thrombopenia (n = 4) and elevated renal parameters (n = 1).",,Non-haematological and haematological adverse events,,,
HU0506,RDC01237,30829871,10.1097/RLU.0000000000002508,,Metastatic castration-resistant prostate cancer,Patients with metastatic castration-resistant prostate cancer and widespread bone metastases as well as a history of kidney transplant,5 cycles,4 GBq,Serum creatinine level,0.8 mg/dL,To evaluate the efficacy,,Excellent response was noted and serum creatinine level of 0.8 mg/dL remained stable.,,,,
HU0507,RDC01237,30291192,10.2967/jnumed.118.219352,,Metastatic castration-resistant prostate cancer,Patients With Metastatic castration-resistant prostate cancer,4 cycles,,Absorbed doses in critical organs,,Its radiation dosimetry and relationships to pretherapeutic imaging and outcomes,"Mean absorbed dose to kidneys, submandibular and parotid glands, liver, spleen, and bone marrow was 0.39, 0.44, 0.58, 0.1, 0.06, and 0.11 Gy/MBq","[177]Lu-PSMA-617 delivers high absorbed doses to tumor, with a significant correlation between whole-body tumor dose and PSA response.",,,,
HU0508,RDC01237,30059428,10.1097/RLU.0000000000002210,,Metastatic castration-resistant prostate cancer,Patients With Metastatic castration-resistant prostate cancer,,,The therapeutic responses after the first cycle,,Therapeutic Responses and Survival Effects,"The pooled hazard ratios for the overall survival of any PSA decline was 0.29 (95% CI, 0.21-0.40) with significance (P < 0.00001); a greater than 50% PSA decline was 0.82 (95% CI, 0.54-1.25) with no significance (P = 0.39).",,,,,
HU0509,RDC01237,29688951,10.1097/RLU.0000000000002102,,Metastatic castration-resistant prostate cancer,Patients With Metastatic castration-resistant prostate cancer,,,Absorbed doses in critical organs,,Predicting normal organ-absorbed doses and maximum permissible activity in patients scheduled for therapy with Lu-PSMA-617.,"The predicted mean organ-absorbed doses were highest in the kidneys (0.44 mSv/MBq), followed by the salivary glands (0.23 mSv/MBq). ",Sc-PSMA-617 PET/CT imaging is feasible,organ-absorbed doses,,,
HU0510,RDC01237,28798031,10.2967/jnumed.117.194209,,Metastatic castration-resistant prostate cancer,Patients With Metastatic castration-resistant prostate cancer,"3-cycle, every 2 mo","4, 6, 7.4, 9.3 GBq","Safety, the prostate-specific antigen response",,Treatment Activities ,Acute hematologic toxicity was and the initial prostate-specific antigen response showed no correlation with treatment activity.,"If patients with diffuse red marrow infiltration and extensive chemotherapeutic pretreatments are excluded, then treatment activities of up to 3 injections of 9.3 GBq of 177Lu-PSMA-617 every 2 mo are tolerated well",,,,
HU0511,RDC01237,29134280,10.1007/s00259-017-3877-z,,Metastatic castration-resistant prostate cancer,Patients With Metastatic castration-resistant prostate cancer,"3 cycles, every 8 weeks.",6.016±0.543 GBq,PSA response,,To analyze response in patients receiving 3 cycles of Lu-PSMA.,"A PSA decline ≥50% and some PSA decline occurred in 56% and 66% of the patients. Of 30 patients with a PSA response after the first cycle, 28 remained responders and 12/41 of non-responders responded to further therapy cycles.",RLT with [177]Lu-PSMA-617 shows respectable response rates.,PSA levels,,,
HU0512,RDC01237,28624848,10.1007/s00259-017-3751-z,,Metastatic castration-resistant prostate cancer,Patients With Metastatic castration-resistant prostate cancer,"median 3 cycles, range 1-7","median dose 6.11 GBq, IQR 5.9-6.3 GBq","Biochemical response, Survival, Toxicity",,To evaluate the overall survival (OS) and to identify parameters predicting outcome in mCRPC patients treated with 177Lu-PSMA-617,"A decline in prostate-specific antigen (PSA) of ≥50% occurred in 53%, and a decline in PSA of any amount in 91% of patients.",A PSA decline after the first cycle of 177Lu-PSMA-617 and an initial ALP level <220 U/L were predictors of a longer OS in patients with end-stage mCRPC. ,,,,
