study_id,drug_id,pmid,doi,created_at,updated_at
BIO01061,RDC00538,35967067,10.1016/j.bioorg.2020.103855,,
BIO01062,RDC00539,35967067,10.1016/j.bioorg.2020.103855,,
BIO01063,RDC00540,32809887,10.1080/09553002.2020.1811419,,
BIO01064,RDC00540,32809887,10.1080/09553002.2020.1811419,,
BIO01067,RDC00542,39102810,10.1007/s00259-020-04978-6,,
BIO01068,RDC00544,27965472,10.18632/oncotarget.13910,,
BIO01069,RDC00544,27965472,10.18632/oncotarget.13910,,
BIO01070,RDC00544,27965472,10.18632/oncotarget.13910,,
BIO01071,RDC00545,19164280,10.2967/jnumed.108.054312,,
BIO01072,RDC00545,19164280,10.2967/jnumed.108.054312,,
BIO01073,RDC00545,19164280,10.2967/jnumed.108.054312,,
BIO01074,RDC00545,19164280,10.2967/jnumed.108.054312,,
BIO01075,RDC00546,19535609,10.2967/jnumed.109.061820,,
BIO01076,RDC00546,19535609,10.2967/jnumed.109.061820,,
BIO01077,RDC00546,19535609,10.2967/jnumed.109.061820,,
BIO01078,RDC00547,21207212,10.1007/s00259-010-1703-y,,
BIO01081,RDC00548,38781111,10.1007/s00726-018-2571-1,,
BIO01082,RDC00549,28401900,10.18632/oncotarget.16664,,
BIO01083,RDC00549,28401900,10.18632/oncotarget.16664,,
BIO01084,RDC00549,28401900,10.18632/oncotarget.16664,,
BIO01085,RDC00549,28401900,10.18632/oncotarget.16664,,
BIO01091,RDC00551,34681174,10.3390/ph14100950,,
BIO01092,RDC00552,35104045,10.1371/journal.pone.0263474,,
BIO01093,RDC00552,35104045,10.1371/journal.pone.0263474,,
BIO01094,RDC00553,37849228,10.2174/0118744710249198231002055810,,
BIO01095,RDC00553,37849228,10.2174/0118744710249198231002055810,,
BIO01096,RDC00554,35147837,10.1007/s11307-022-01708-2,,
BIO01097,RDC00555,36145664,10.3390/pharmaceutics14091917,,
BIO01098,RDC00555,36145664,10.3390/pharmaceutics14091917,,
BIO01099,RDC00556,38781111,10.1158/0008-5472.CAN-24-2266,,
BIO01100,RDC00557,3877811141,10.2967/jnumed.123.266204,,
BIO01101,RDC00558,33225140,10.3390/cancers12113449,,
BIO01104,RDC00563,3878111,10.1002/jlcr.3625,,
BIO01105,RDC00564,27739174,10.1002/cmmi.1714,,
BIO01107,RDC00566,27363457,10.1021/acs.bioconjchem.6b00259,,
BIO01108,RDC00566,27363457,10.1021/acs.bioconjchem.6b00259,,
BIO01109,RDC00567,27363457,10.1021/acs.bioconjchem.6b00259,,
BIO01110,RDC00569,28330845,10.2967/jnumed.116.181586,,
BIO01111,RDC00569,28330845,10.2967/jnumed.116.181586,,
BIO01112,RDC00569,28330845,10.2967/jnumed.116.181586,,
BIO01113,RDC00569,28330845,10.2967/jnumed.116.181586,,
BIO01114,RDC00569,28330845,10.2967/jnumed.116.181586,,
BIO01115,RDC00570,38135849,10.1007/s00259-023-06575-9,,
BIO01116,RDC00571,38135849,10.1007/s00259-023-06575-9,,
BIO01117,RDC00572,31561141,10.1038/s41586-024-07461-6,,
BIO01118,RDC00572,31561141,10.1038/s41586-024-07461-6,,
BIO01119,RDC00572,31561141,10.1038/s41586-024-07461-6,,
BIO01120,RDC00573,30000000,10.1007/s13139-018-0535-8,,
BIO01121,RDC00574,20468060,10.1002/ijc.25409,,
BIO01122,RDC00575,27258216,10.1016/j.apradiso.2016.05.025,,
BIO01123,RDC00576,25854363,10.1007/s00726-015-1975-4,,
BIO01124,RDC00576,25854363,10.1007/s00726-015-1975-4,,
BIO01125,RDC00577,38781111,10.1007/s00726-014-1859-z,,
BIO01126,RDC00578,23228484,10.1007/s00259-012-2284-8,,
BIO01127,RDC00579,22184198,10.2967/jnumed.111.090829,,
BIO01128,RDC00579,22184198,10.2967/jnumed.111.090829,,
BIO01129,RDC00579,22184198,10.2967/jnumed.111.090829,,
BIO01130,RDC00579,22184198,10.2967/jnumed.111.090829,,
BIO01131,RDC00579,22184198,10.2967/jnumed.111.090829,,
BIO01132,RDC00580,38781111,10.2967/jnumed.113.121814,,
BIO01133,RDC00580,38781111,10.2967/jnumed.113.121814,,
BIO01134,RDC00580,38781111,10.2967/jnumed.113.121814,,
BIO01135,RDC00580,38781111,10.2967/jnumed.113.121814,,
BIO01136,RDC00581,38781111,10.1021/mp500284t,,
BIO01137,RDC00582,38781111,10.1021/acs.molpharmaceut.8b01317,,
BIO01138,RDC00583,36692381,10.1021/acs.molpharmaceut.2c00957,,
BIO01139,RDC00584,38781111,10.1007/s00259-023-06260-x,,
BIO01140,RDC00585,17023830,10.1016/j.nucmedbio.2006.09.003,,
BIO01141,RDC00586,,10.1002/jlcr.3572,,
EF00512,RDC00512,26429962,10.2967/jnumed.115.162339,,
EF00513,RDC00513,33298116,10.1186/s41181-020-00111-y,,
EF00514,RDC00514,33298116,10.1186/s41181-020-00111-y,,
EF00515,RDC00515,33298116,10.1186/s41181-020-00111-y,,
EF00516,RDC00513,35926098,10.1021/acs.molpharmaceut.2c00457,,
EF00517,RDC00520,26917708,10.2967/jnumed.115.167155,,
EF00518,RDC00514,24472064,10.1021/mp4005047,,
EF00519,RDC00522,19723851,10.2967/jnumed.109.065961,,
EF00520,RDC00522,19723851,10.2967/jnumed.109.065961,,
EF00521,RDC00523,30217810,10.2967/jnumed.118.216069,,
EF00522,RDC00543,20682778,10.1158/1535-7163.MCT-10-0444,,
EF00523,RDC00555,36145664,10.3390/pharmaceutics14091917,,
EF00524,RDC00556,38781111,10.1158/0008-5472.CAN-24-2266,,
EF00525,RDC00557,3877811141,10.2967/jnumed.123.266204,,
EF00526,RDC00571,38135849,10.1007/s00259-023-06575-9,,
BIO01189,RDC00611,12937948,10.1007/s00259-003-1255-5,,
BIO01190,RDC00612,12937948,10.1007/s00259-003-1255-5,,
BIO01201,RDC00623,18020401,10.1021/bc700291m,,
BIO01202,RDC00623,18020401,10.1021/bc700291m,,
BIO01203,RDC00624,18020401,10.1021/bc700291m,,
BIO01204,RDC00624,18020401,10.1021/bc700291m,,
BIO01206,RDC00626,15709181,,,
BIO01207,RDC00626,15709181,,,
BIO01208,RDC00627,15709181,,,
BIO01209,RDC00627,15709181,,,
BIO01210,RDC00628,11823119,10.1016/s0969-8051(01)00290-6,,
BIO01211,RDC00629,11948475,10.1002/ijc.10295,,
BIO01213,RDC00631,11948475,10.1002/ijc.10295,,
BIO01214,RDC00632,11948475,10.1002/ijc.10295,,
BIO01215,RDC00633,11948475,10.1002/ijc.10295,,
BIO01218,RDC00637,15991301,10.3748/wjg.v11.i25.3953,,
BIO01221,RDC00642,15623652,10.1158/1078-0432.CCR-04-1084,,
BIO01222,RDC00642,15623652,10.1158/1078-0432.CCR-04-1084,,
BIO01223,RDC00643,15623652,10.1158/1078-0432.CCR-04-1084,,
BIO01224,RDC00643,15623652,10.1158/1078-0432.CCR-04-1084,,
BIO01227,RDC00650,18927338,10.2967/jnumed.108.054502,,
BIO01228,RDC00650,18927338,10.2967/jnumed.108.054502,,
BIO01229,RDC00655,29278911,10.1021/acs.molpharmaceut.7b00963,,
BIO01230,RDC00656,,10.1007/s10967-014-3199-6,,
BIO01231,RDC00656,,10.1007/s10967-014-3199-6,,
BIO01232,RDC00658,28013120,10.1016/j.nucmedbio.2016.12.003,,
BIO01233,RDC00658,28013120,10.1016/j.nucmedbio.2016.12.003,,
BIO01234,RDC00661,29344302,10.7150/thno.23491,,
BIO01235,RDC00662,25743164,10.1007/s00726-015-1942-0,,
BIO01236,RDC00662,25743164,10.1007/s00726-015-1942-0,,
BIO01237,RDC00666,23768172,10.1021/mp400040z,,
BIO01238,RDC00666,23768172,10.1021/mp400040z,,
BIO01239,RDC00667,28408527,10.2967/jnumed.117.191684,,
BIO01240,RDC00667,28408527,10.2967/jnumed.117.191684,,
BIO01241,RDC00667,28408527,10.2967/jnumed.117.191684,,
BIO01244,RDC00669,29422331,10.1016/j.bmc.2018.01.023,,
BIO01245,RDC00671,23109400,10.1002/psc.2458,,
BIO01246,RDC00653, 39046521,10.2967/jnumed.115.167007,,
BIO01248,RDC00641,25359879,10.2967/jnumed.114.140780,,
BIO01249,RDC00641,25359879,10.2967/jnumed.114.140780,,
BIO01250,RDC00646,35800424,10.1007/s10967-014-3867-6,,
BIO01252,RDC00679,16531924,10.1089/cbr.2012.1270,,
BIO01253,RDC00682,37184248,10.3791/65109,,
BIO01254,RDC00682,37184248,10.3791/65109,,
BIO01257,RDC00684,28349291,10.1007/s11307-017-1072-z,,
BIO01258,RDC00685,28349291,10.1007/s11307-017-1072-z,,
BIO01259,RDC00687,22663248,10.1021/bc300092n,,
BIO01260,RDC00687,22663248,10.1021/bc300092n,,
BIO01261,RDC00689,30412382,10.1021/acs.bioconjchem.8b00670,,
BIO01262,RDC00691,26791386,10.1186/s13550-016-0162-2,,
BIO01263,RDC00691,26791386,10.1186/s13550-016-0162-2,,
BIO01265,RDC00696, 22245688,10.1016/j.jconrel.2011.12.038,,
BIO01266,RDC00608,21055629,10.1016/j.nucmedbio.2010.05.007,,
BIO01267,RDC00608,21055629,10.1016/j.nucmedbio.2010.05.007,,
BIO01269,RDC00700,40663863,10.1016/j.colsurfb.2025.114945,,
BIO01270,RDC00701,40663863,10.1016/j.colsurfb.2025.114945,,
BIO01271,RDC00705,36396453,10.2967/jnumed.122.264707,,
BIO01272,RDC00707,39884771,10.2967/jnumed.124.268345,,
BIO01273,RDC00708,39884771,10.2967/jnumed.124.268345,,
BIO01274,RDC00709,39884771,10.2967/jnumed.124.268345,,
BIO01275,RDC00710,39884771,10.2967/jnumed.124.268345,,
BIO01276,RDC00716,38543286,10.3390/pharmaceutics16030392,,
BIO01277,RDC00721,37616528,10.1158/1535-7163.MCT-23-0029,,
BIO01278,RDC00722,37513897,10.3390/ph16070985,,
BIO01279,RDC00722,37513897,10.3390/ph16070985,,
BIO01280,RDC00672,39145784,10.1007/s00259-024-06874-9,,
BIO01281,RDC00672,39145784,10.1007/s00259-024-06874-9,,
BIO01282,RDC00723,37389800,10.1186/s41181-023-00197-0,,
BIO01283,RDC00726,33788556,10.1021/acs.bioconjchem.1c00109,,
BIO01284,RDC00727,33788556,10.1021/acs.bioconjchem.1c00109,,
BIO01285,RDC00726,33788556,10.1021/acs.bioconjchem.1c00109,,
BIO01286,RDC00727,33788556,10.1021/acs.bioconjchem.1c00109,,
BIO01287,RDC00728,39532749,10.1007/s00259-024-06978-2,,
BIO01288,RDC00728,39532749,10.1007/s00259-024-06978-2,,
BIO01289,RDC00729,32292548,10.1021/acsmedchemlett.9b00544,,
BIO01290,RDC00729,32292548,10.1021/acsmedchemlett.9b00544,,
BIO04826,RDC00729,32292548,10.1021/acsmedchemlett.9b00544,,
BIO04827,RDC00729,32292548,10.1021/acsmedchemlett.9b00544,,
BIO01291,RDC00672,29653971,10.2967/jnumed.118.209841,,
BIO01292,RDC00672,29653971,10.2967/jnumed.118.209841,,
BIO01293,RDC00730,38104907,10.1016/j.ejps.2023.106671,,
BIO01294,RDC00730,38104907,10.1016/j.ejps.2023.106671,,
BIO01295,RDC00733,37049918,10.3390/molecules28073155,,
BIO01296,RDC00733,37049918,10.3390/molecules28073155,,
BIO01299,RDC00734,38176714,10.2967/jnumed.123.266183,,
BIO01300,RDC00738,39827143,10.1038/s41598-025-85143-7,,
BIO01301,RDC00738,39827143,10.1038/s41598-025-85143-7,,
BIO01302,RDC00737,39827143,10.1038/s41598-025-85143-7,,
BIO01303,RDC00737,39827143,10.1038/s41598-025-85143-7,,
BIO01304,RDC00741,38346097,10.1021/acs.jmedchem.3c00223,,
BIO01305,RDC00741,38346097,10.1021/acs.jmedchem.3c00223,,
BIO01306,RDC00741,38346097,10.1021/acs.jmedchem.3c00223,,
BIO01307,RDC00741,38346097,10.1021/acs.jmedchem.3c00223,,
BIO01308,RDC00743,38485273,10.2967/jnumed.123.265997,,
BIO01310,RDC00743,38485273,10.2967/jnumed.123.265997,,
BIO01311,RDC00743,38485273,10.2967/jnumed.123.265997,,
BIO04828,RDC00743,38485273,10.2967/jnumed.123.265997,,
BIO01312,RDC00746,39046521,10.1007/s00259-024-06827-2,,
BIO01313,RDC00674,34433438,10.1186/s12885-021-08551-8,,
BIO01314,RDC00674,34433438,10.1186/s12885-021-08551-8,,
BIO01315,RDC00674,34433438,10.1186/s12885-021-08551-8,,
BIO01316,RDC00674,34433438,10.1186/s12885-021-08551-8,,
BIO01317,RDC00674,34433438,10.1186/s12885-021-08551-8,,
BIO01318,RDC00674,34433438,10.1186/s12885-021-08551-8,,
EF00611,RDC00670,16166445, 10.1158/1078-0432.CCR-04-2699,,
EF00612,RDC00653,29545378,10.2967/jnumed.116.186341,,
EF00653,RDC00653,18927338,10.2967/jnumed.108.054502,,
EF00613,RDC00669,29422331, 10.1016/j.bmc.2018.01.023,,
EF00614,RDC00672,29653971, 10.2967/jnumed.118.209841,,
EF00615,RDC00674, 39046521,10.2967/jnumed.115.167007,,
EF00618,RDC00691,26791386, 10.1186/s13550-016-0162-2,,
EF00619,RDC00691,26791386, 10.1186/s13550-016-0162-2,,
EF00620,RDC00699,38323310,10.7150/thno.87130,,
EF00621,RDC00701,40663863,10.1016/j.colsurfb.2025.114945,,
EF00622,RDC00705,36396453,10.2967/jnumed.122.264707,,
EF00623,RDC00705,36396453,10.2967/jnumed.122.264707,,
EF00624,RDC00706,33355247,10.1158/1078-0432.CCR-20-3453,,
EF00625,RDC00706,33355247,10.1158/1078-0432.CCR-20-3453,,
EF00626,RDC00713,39404789,10.1007/s00259-024-06944-y,,
EF00627,RDC00713,39404789,10.1007/s00259-024-06944-y,,
EF00628,RDC00712,,10.1007/s00259-024-06918-0,,
EF00629,RDC00712,,10.1007/s00259-024-06918-0,,
EF00630,RDC00712,,10.1007/s00259-024-06918-0,,
EF00631,RDC00721,37616528,10.1158/1535-7163.MCT-23-0029,,
EF00632,RDC00721,37616528,10.1158/1535-7163.MCT-23-0029,,
EF00633,RDC00721,37616528,10.1158/1535-7163.MCT-23-0029,,
EF00634,RDC00721,37616528,10.1158/1535-7163.MCT-23-0029,,
EF00635,RDC00723,37389800,10.1186/s41181-023-00197-0,,
BIO01430,RDC00751,32728930,10.1186/s41181-020-00102-z,,
BIO01431,RDC00751,32728930,10.1186/s41181-020-00102-z,,
BIO01433,RDC00754,22992515,10.1158/1078-0432.CCR-12-0644,,
BIO01434,RDC00754,22992515,10.1158/1078-0432.CCR-12-0644,,
BIO01435,RDC00755,35658448,10.1021/acs.jmedchem.1c02162,,
BIO01436,RDC00755,35658448,10.1021/acs.jmedchem.1c02162,,
BIO01437,RDC00756,35658448,10.1021/acs.jmedchem.1c02162,,
BIO01438,RDC00756,35658448,10.1021/acs.jmedchem.1c02162,,
BIO01439,RDC00757,35658448,10.1021/acs.jmedchem.1c02162,,
BIO01440,RDC00757,35658448,10.1021/acs.jmedchem.1c02162,,
BIO01441,RDC00758,35658448,10.1021/acs.jmedchem.1c02162,,
BIO01442,RDC00758,35658448,10.1021/acs.jmedchem.1c02162,,
BIO01443,RDC00759,,10.2106/JBJS.20.00831,,
BIO01444,RDC00764,36015106,10.3390/ph15080958,,
BIO01445,RDC00765,35976352,10.1021/acs.molpharmaceut.2c00579,,
BIO01446,RDC00766,35976352,10.1021/acs.molpharmaceut.2c00579,,
BIO01447,RDC00767,35976352,10.1021/acs.molpharmaceut.2c00579,,
BIO01448,RDC00768,35976352,10.1021/acs.molpharmaceut.2c00579,,
BIO01449,RDC00770,34591481,10.1021/acs.molpharmaceut.1c00566,,
BIO01450,RDC00770,34591481,10.1021/acs.molpharmaceut.1c00566,,
EF00754,RDC00754,22992515,10.1158/1078-0432.CCR-12-0644,,
EF00755,RDC00754,22992515,10.1158/1078-0432.CCR-12-0644,,
BIO01346,RDC00777,40180251,10.1016/j.jconrel.2025.113678,,
BIO01347,RDC00777,40180251,10.1016/j.jconrel.2025.113678,,
BIO01348,RDC00778,40180251,10.1016/j.jconrel.2025.113678,,
BIO01349,RDC00778,40180251,10.1016/j.jconrel.2025.113678,,
BIO01350,RDC00779,40180251,10.1016/j.jconrel.2025.113678,,
BIO01351,RDC00779,40180251,10.1016/j.jconrel.2025.113678,,
BIO01352,RDC00780,40180251,10.1016/j.jconrel.2025.113678,,
BIO01353,RDC00780,40180251,10.1016/j.jconrel.2025.113678,,
BIO01354,RDC00781,39013156,10.1021/acs.jmedchem.4c00448,,
BIO01355,RDC00781,39013156,10.1021/acs.jmedchem.4c00448,,
BIO01356,RDC00782,39073475,10.1186/s41181-024-00283-x,,
BIO01357,RDC00783,39073475,10.1186/s41181-024-00283-x,,
BIO01358,RDC00784,40528580,10.1021/acs.jmedchem.5c01163,,
BIO01359,RDC00784,40528580,10.1021/acs.jmedchem.5c01163,,
BIO01360,RDC00785,40102034,10.1021/acs.jmedchem.4c03133,,
BIO01361,RDC00785,40102034,10.1021/acs.jmedchem.4c03133,,
BIO01362,RDC00786,40102034,10.1021/acs.jmedchem.4c03133,,
BIO01363,RDC00786,40102034,10.1021/acs.jmedchem.4c03133,,
BIO01364,RDC00788,40782071,10.1021/acs.jmedchem.5c01294,,
BIO01365,RDC00788,40782071,10.1021/acs.jmedchem.5c01294,,
BIO01366,RDC00788,40782071,10.1021/acs.jmedchem.5c01294,,
BIO01367,RDC00788,40782071,10.1021/acs.jmedchem.5c01294,,
BIO01368,RDC00787,40782071,10.1021/acs.jmedchem.5c01294,,
BIO01369,RDC00787,40782071,10.1021/acs.jmedchem.5c01294,,
BIO01370,RDC00787,40782071,10.1021/acs.jmedchem.5c01294,,
BIO01371,RDC00787,40782071,10.1021/acs.jmedchem.5c01294,,
BIO01372,RDC00789,40782071,10.1021/acs.jmedchem.5c01294,,
BIO01373,RDC00789,40782071,10.1021/acs.jmedchem.5c01294,,
BIO01374,RDC00789,40782071,10.1021/acs.jmedchem.5c01294,,
BIO01375,RDC00789,40782071,10.1021/acs.jmedchem.5c01294,,
BIO01376,RDC00790,37874952,10.1021/acs.bioconjchem.3c00442,,
BIO01377,RDC00790,37874952,10.1021/acs.bioconjchem.3c00442,,
BIO01378,RDC00791,37874952,10.1021/acs.bioconjchem.3c00442,,
BIO04726,RDC00792,37261473,10.1007/s00259-023-06272-7,,
BIO04727,RDC00792,37261473,10.1007/s00259-023-06272-7,,
BIO01379,RDC00792,37261473,10.1007/s00259-023-06272-7,,
BIO01380,RDC00792,37261473,10.1007/s00259-023-06272-7,,
BIO01381,RDC00793,37261473,10.1007/s00259-023-06272-7,,
BIO01382,RDC00793,37261473,10.1007/s00259-023-06272-7,,
BIO04728,RDC00793,37261473,10.1007/s00259-023-06272-7,,
BIO04729,RDC00794,37261473,10.1007/s00259-023-06272-7,,
BIO01383,RDC00794,37261473,10.1007/s00259-023-06272-7,,
BIO01384,RDC00794,37261473,10.1007/s00259-023-06272-7,,
BIO01386,RDC00797,40006089,10.3390/ph18020277,,
BIO01387,RDC00797,40006089,10.3390/ph18020277,,
BIO01388,RDC00798,39848766,10.2967/jnumed.124.268689,,
BIO01389,RDC00798,39848766,10.2967/jnumed.124.268689,,
BIO01390,RDC00799,39848766,10.2967/jnumed.124.268689,,
BIO01391,RDC00799,39848766,10.2967/jnumed.124.268689,,
BIO01392,RDC00800,40307510,10.1186/s13550-025-01230-w,,
BIO01393,RDC00800,40307510,10.1186/s13550-025-01230-w,,
BIO01394,RDC00801,37318538,10.1007/s00259-023-06300-6,,
BIO01395,RDC00801,37318538,10.1007/s00259-023-06300-6,,
BIO01396,RDC00802,37318538,10.1007/s00259-023-06300-6,,
BIO01397,RDC00802,37318538,10.1007/s00259-023-06300-6,,
BIO01398,RDC00803,37318538,10.1007/s00259-023-06300-6,,
BIO01399,RDC00803,37318538,10.1007/s00259-023-06300-6,,
BIO01400,RDC00804,37318538,10.1007/s00259-023-06300-6,,
BIO01401,RDC00804,37318538,10.1007/s00259-023-06300-6,,
BIO01402,RDC00805,40524336,10.1021/acs.jmedchem.5c00837,,
BIO01403,RDC00805,40524336,10.1021/acs.jmedchem.5c00837,,
BIO01404,RDC00806,40524336,10.1021/acs.jmedchem.5c00837,,
BIO01405,RDC00806,40524336,10.1021/acs.jmedchem.5c00837,,
BIO01406,RDC00807,40177850,10.1158/1535-7163.MCT-24-1108,,
BIO01407,RDC00807,40177850,10.1158/1535-7163.MCT-24-1108,,
BIO01408,RDC00808,40177850,10.1158/1535-7163.MCT-24-1108,,
BIO01409,RDC00808,40177850,10.1158/1535-7163.MCT-24-1108,,
BIO01410,RDC00809,40177850,10.1158/1535-7163.MCT-24-1108,,
BIO01411,RDC00809,40177850,10.1158/1535-7163.MCT-24-1108,,
BIO01412,RDC00810,40177850,10.1158/1535-7163.MCT-24-1108,,
BIO01413,RDC00810,40177850,10.1158/1535-7163.MCT-24-1108,,
BIO01414,RDC00811,40177850,10.1158/1535-7163.MCT-24-1108,,
BIO01415,RDC00811,40177850,10.1158/1535-7163.MCT-24-1108,,
BIO01416,RDC00812,40177850,10.1158/1535-7163.MCT-24-1108,,
BIO01417,RDC00812,40177850,10.1158/1535-7163.MCT-24-1108,,
BIO01420,RDC00814,39736080,10.1021/acs.molpharmaceut.4c01080,,
BIO01421,RDC00814,39736080,10.1021/acs.molpharmaceut.4c01080,,
BIO01422,RDC00815,39736080,10.1021/acs.molpharmaceut.4c01080,,
BIO01423,RDC00816,40810148,10.1021/acsptsci.5c00256,,
BIO01424,RDC00816,40810148,10.1021/acsptsci.5c00256,,
BIO01425,RDC00817,40810148,10.1021/acsptsci.5c00256,,
BIO01426,RDC00817,40810148,10.1021/acsptsci.5c00256,,
BIO01427,RDC00818,40810148,10.1021/acsptsci.5c00256,,
BIO01428,RDC00818,40810148,10.1021/acsptsci.5c00256,,
BIO01505,RDC00820,38954733,10.1021/acs.bioconjchem.4c00214,,
BIO01506,RDC00820,38954733,10.1021/acs.bioconjchem.4c00214,,
BIO01507,RDC00821,36864362,10.1007/s00259-023-06169-5,,
BIO01508,RDC00822,36864362,10.1007/s00259-023-06169-5,,
BIO01509,RDC00822,36864362,10.1007/s00259-023-06169-5,,
BIO01510,RDC00823,39266289,10.2967/jnumed.124.268200,,
BIO01511,RDC00825,40762892,10.1186/s41181-025-00375-2,,
BIO01512,RDC00825,40762892,10.1186/s41181-025-00375-2,,
BIO01514,RDC00827,40693443,10.1021/acsami.5c07340,,
BIO01515,RDC00828,39488967,10.1016/j.ejmech.2024.117011,,
BIO01516,RDC00828,39488967,10.1016/j.ejmech.2024.117011,,
BIO01517,RDC00829,40886680,10.1016/j.ejmech.2025.118103,,
BIO01518,RDC00829,40886680,10.1016/j.ejmech.2025.118103,,
BIO01519,RDC00829,40886680,10.1016/j.ejmech.2025.118103,,
BIO01520,RDC00830,38825657,10.1038/s41392-024-01853-w,,
BIO01521,RDC00831,38825657,10.1038/s41392-024-01853-w,,
BIO01522,RDC00831,38825657,10.1038/s41392-024-01853-w,,
BIO01523,RDC00832,40236533,10.1021/acsmedchemlett.4c00630,,
BIO01525,RDC00833,40236533,10.1021/acsmedchemlett.4c00630,,
BIO01527,RDC00834,40236533,10.1021/acsmedchemlett.4c00630,,
BIO01530,RDC00836,39410013,10.3390/cancers16193393,,
BIO01531,RDC00837,39410013,10.3390/cancers16193393,,
BIO04730,RDC00837,39410013,10.3390/cancers16193393,,
BIO01532,RDC00838,38398552,10.3390/molecules29040800,,
BIO01533,RDC00838,38398552,10.3390/molecules29040800,,
BIO04731,RDC00838,38398552,10.3390/molecules29040800,,
BIO04732,RDC00838,38398552,10.3390/molecules29040800,,
BIO01534,RDC00839,38398552,10.3390/molecules29040800,,
BIO01535,RDC00839,38398552,10.3390/molecules29040800,,
BIO04733,RDC00839,38398552,10.3390/molecules29040800,,
BIO04734,RDC00839,38398552,10.3390/molecules29040800,,
BIO01536,RDC00841,37734838,10.2967/jnumed.123.266007,,
BIO01537,RDC00841,37734838,10.2967/jnumed.123.266007,,
BIO04735,RDC00841,37734838,10.2967/jnumed.123.266007,,
BIO04736,RDC00841,37734838,10.2967/jnumed.123.266007,,
BIO01538,RDC00842,40032959,10.1038/s41598-025-91716-3,,
BIO01539,RDC00842,40032959,10.1038/s41598-025-91716-3,,
BIO01540,RDC00843,37390480,10.1021/acs.jmedchem.3c00259,,
BIO01541,RDC00843,37390480,10.1021/acs.jmedchem.3c00259,,
BIO01542,RDC00844,37390480,10.1021/acs.jmedchem.3c00259,,
BIO01543,RDC00844,37390480,10.1021/acs.jmedchem.3c00259,,
BIO01544,RDC00845,37390480,10.1021/acs.jmedchem.3c00259,,
BIO01545,RDC00845,37390480,10.1021/acs.jmedchem.3c00259,,
BIO01546,RDC00823,39528843,10.1007/s00259-024-06969-3,,
BIO01547,RDC00841,39528843,10.1007/s00259-024-06969-3,,
BIO01548,RDC00846,38050111,10.2967/jnumed.123.266345,,
BIO01549,RDC00846,38050111,10.2967/jnumed.123.266345,,
BIO01550,RDC00847,38050111,10.2967/jnumed.123.266345,,
BIO01551,RDC00847,38050111,10.2967/jnumed.123.266345,,
BIO01552,RDC00848,38050111,10.2967/jnumed.123.266345,,
BIO01553,RDC00849,38050111,10.2967/jnumed.123.266345,,
BIO01554,RDC00850,39710979,10.1021/acs.jmedchem.4c02015,,
BIO01555,RDC00850,39710979,10.1021/acs.jmedchem.4c02015,,
BIO01556,RDC00851,39710979,10.1021/acs.jmedchem.4c02015,,
BIO01557,RDC00852,38675193,10.3390/pharmaceutics16040532,,
BIO01558,RDC00852,38675193,10.3390/pharmaceutics16040532,,
BIO01561,RDC00854,38040444,10.2967/jnumed.123.266381,,
BIO01562,RDC00855,40787781,10.1021/acs.bioconjchem.5c00369,,
BIO01563,RDC00856,39533706,10.1021/acs.molpharmaceut.4c00983,,
BIO01564,RDC00856,39533706,10.1021/acs.molpharmaceut.4c00983,,
BIO01565,RDC00857,39533706,10.1021/acs.molpharmaceut.4c00983,,
BIO01566,RDC00857,39533706,10.1021/acs.molpharmaceut.4c00983,,
BIO01567,RDC00857,39533706,10.1021/acs.molpharmaceut.4c00983,,
BIO04737,RDC00857,39533706,10.1021/acs.molpharmaceut.4c00983,,
BIO04738,RDC00857,39533706,10.1021/acs.molpharmaceut.4c00983,,
BIO04739,RDC00857,39533706,10.1021/acs.molpharmaceut.4c00983,,
BIO04740,RDC00857,39533706,10.1021/acs.molpharmaceut.4c00983,,
BIO01429,RDC00857,39533706,10.1021/acs.molpharmaceut.4c00983,,
BIO01568,RDC00857,39533706,10.1021/acs.molpharmaceut.4c00983,,
BIO01569,RDC00858,39520516,10.1007/s00259-024-06965-7,,
BIO01570,RDC00858,39520516,10.1007/s00259-024-06965-7,,
BIO01572,RDC00860,40423776,10.1007/s00259-025-07362-4,,
BIO01573,RDC00861,40423776,10.1007/s00259-025-07362-4,,
BIO01574,RDC00862,39079004,10.1021/acs.jmedchem.4c01295,,
BIO01576,RDC00854,39237746,10.1007/s00259-024-06914-4,,
BIO01577,RDC00863,39237746,10.1007/s00259-024-06914-4,,
BIO01579,RDC00865,39237746,10.1007/s00259-024-06914-4,,
BIO01580,RDC00866,38050111,10.2967/jnumed.123.266345,,
BIO01581,RDC00866,38050111,10.2967/jnumed.123.266345,,
BIO01582,RDC00867,38050111,10.2967/jnumed.123.266345,,
BIO01583,RDC00867,38050111,10.2967/jnumed.123.266345,,
BIO01584,RDC00868,38050111,10.2967/jnumed.123.266345,,
BIO01585,RDC00868,38050111,10.2967/jnumed.123.266345,,
BIO01586,RDC00869,38050111,10.2967/jnumed.123.266345,,
BIO01587,RDC00869,38050111,10.2967/jnumed.123.266345,,
BIO01588,RDC00870,38040444,10.2967/jnumed.123.266381,,
BIO01589,RDC00870,38040444,10.2967/jnumed.123.266381,,
EF00783,RDC00800,40307510,10.1186/s13550-025-01230-w,,
EF00822,RDC00822,36864362,10.1007/s00259-023-06169-5,,
