entity_id,entity_category,name,synonyms,external_id,smiles,structure_image,formula,iupac_name,inchi,inchikey,pubchem_cid,mol2d_path,mol3d_path,molecular_weight,complexity,heavy_atom_count,hbond_acceptors,hbond_donors,rotatable_bonds,logp,tpsa,ligand_type,linker_type,radionuclide_symbol,radionuclide_half_life,radionuclide_emission,radionuclide_energy,radiochemical_method_description,radiochemical_yield,radiochemical_purity,specific_activity,notes,created_at,updated_at
RDC00255,RDC,[67Ga]Ga-DOTA-KV6-Mal-Et([67Ga]6b）,,,,,,,,,,,,,,,,,,,,,,,,,,"DOTA peptide precursors of 5a, 5b, and 8 were reacted with [67Ga]GaCl3 at 80 °C for 20 min to yield [67Ga]Ga-DOTA peptides [67Ga]6a, [67Ga]6b, and [67Ga]9, respectively",>98%,>98%,,,,
RDC00256,RDC,[67Ga]Ga-DOTA-Malc(RGDyK)([67Ga]9）,,,,,,,,,,,,,,,,,,,,,,,,,,"DOTA peptide precursors of 5a, 5b, and 8 were reacted with [67Ga]GaCl3 at 80 °C for 20 min to yield [67Ga]Ga-DOTA peptides [67Ga]6a, [67Ga]6b, and [67Ga]9, respectively",>98%,>98%,,,,
RDC00260,RDC,[⁶⁸Ga]Ga-DOTAGA-LacN(NAP),,,,,,,,,,,,,,,,,,,,,,,,,,"⁶⁸Ga was produced via the ⁶⁸Zn(p,n)⁶⁸Ga nuclear reaction in a cyclotron.
Labeling conditions: 95°C, 15 min, pH 4
Purification method: Oasis HLB cartridge",>97%,>95%,4.75 ± 0.057 GBq/µmol,,,
RDC00261,RDC,[⁶⁸Ga]Ga-DOTAGA-LacN(NAP)-cRGDfK,,,,,,,,,,,,,,,,,,,,,,,,,,"⁶⁸Ga was produced via the ⁶⁸Zn(p,n)⁶⁸Ga nuclear reaction in a cyclotron.
Labeling conditions: 95°C, 15 min, pH 4
Purification method: Oasis HLB cartridge",>97%,>95%,11.63 ± 0.17 GBq/µmol,,,
RDC00263,RDC,[⁶⁸Ga]Ga-DOTA-(PEG28)₂-A20FMDV2,,,,,,,,,,,,,,,,,,,,,,,,,,"⁶⁸Ga: Using a ⁶⁸Ge/⁶⁸Ga generator, reaction at 90°C for 15 minutes, pH 5.5
¹⁷⁷Lu: Reaction at 90°C for 15 minutes, pH 5.0–5.5",>95%,>95%,18.5 MBq/µmol,,,
RDC00264,RDC,[¹⁷⁷Lu]Lu-IBA-DOTA-(PEG28)₂-A20FMDV2,,,,,,,,,,,,,,,,,,,,,,,,,,"⁶⁸Ga: Using a ⁶⁸Ge/⁶⁸Ga generator, reaction at 90°C for 15 minutes, pH 5.5
¹⁷⁷Lu: Reaction at 90°C for 15 minutes, pH 5.0–5.5",>98%,>98%,10 MBq/µmol,,,
RDC00265,RDC,99mTc(CO)3-DTPA-cPT,,,,,,,,,,,,,,,,,,,,,,,,,,Indirect labeling via fac-[99mTc(CO)₃(H₂O)₃]⁺ core using sodium borohydride as reducing agent,95.4 ± 1.3% for 99mTc(CO)₃-DTPA-cPT,≥95%,,,,
RDC00266,RDC,[99mTc]Tc-M-7,,,,,,,,,,,,,,,,,,,,,,,,,,"Labeling with 99mTc using Tricine/EDDA as co-ligands, SnCl₂ as reducing agent, 95°C for 15 min",≥95%,≥95%,20.5–30.7 GBq/μmol,,,
RDC00274,RDC,⁶⁸Ga-IABtP,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,,4.14 MBq/μg,,,
RDC00277,RDC,[⁶⁸Ga]Ga-DOTA-c(RGDfK),,,,,,,,,,,,,,,,,,,,,,,,,,"⁶⁸Ga eluted from ⁶⁸Ge/⁶⁸Ga generator, labeled at 95°C for 10 min",,>98%,,,,
RDC00285,RDC,177Lu-EB-RGD,,,,,,,,,,,,,,,,,,,,,,,,,,"Incubated at 90 °C for 30 min in ammonium acetate buffer (pH 5.6), followed by C18 purification.",,>95%,55.85 ± 14.0 GBq/μmol,,,
RDC00286,RDC,[⁶⁴Cu]DOTA-K(ABM)-αvβ6-BP,,,,,,,,,,,,,,,,,,,,,,,,,,"Incubation with ⁶⁴CuCl₂ in NH₄OAc buffer, 37°C, 30 min",>95%,97–98%,18.5 GBq/μmol,,,
RDC00288,RDC,NOTA-polypeptide-PEG11-Tz(89Zr-DFO-anti-CD11b),,,,,,,,,,,,,,,,,,,,,,,,,,"Conjugation with DFO-NCS, labeling with 89Zr",>80%,0.928,66.6–70.3 MBq/mg,,,
RDC00290,RDC,[99mTc]Tc-[Pen-Hx-sss-c(RGDfK)]₂,,,,,,,,,,,,,,,,,,,,,,,,,,Reaction with 99mTc-glucoheptonate at 100°C for 10 min,>95%,,,,,
RDC00294,RDC,177Lu-DOTA-2.5F,,,,,,,,,,,,,,,,,,,,,,,,,,"Labeling in 0.2 M NaOAc buffer, pH 5.0, 80°C, 30 min",>55%,>95%,100–130 μCi/μg,,,
RDC00295,RDC,99mTc-HYNIC(tricine)(TPPTS)-HK,,,,,,,,,,,,,,,,,,,,,,,,,,"Labeling with tricine/TPPTS coligands, 30 min",0.948,>98%,>180 GBq/μmol,,,
RDC00327,RDC,[68Ga]68Ga-NOTA-RGD,,,,,,,,,,,,,,,,,,,,,,,,,,"One-pot synthesis at room temperature with solid phase extraction (SPE) purification; 68Ge/68Ga generator eluted with 0.1 M HCl, 68Ga3+ extracted with 0.98 acetone/0.02 N HCl, labelled with NOTA-RGD in 0.5 M HEPES buffer (pH 3.9), residual acetone removed by distillation at 55 °C with N2 flushing, final purification via preconditioned C18 reversed-phase cartridge",0.9,0.97,,,,
RDC00328,RDC,[99mTc]99mTc-G3-2P4-RGD2,,,,,,,,,,,,,,,,,,,,,,,,,,"In this study, ⁹⁹ᵐTc-labeled cyclic RGD peptide tracers were prepared via radiochemical methods. Specifically, ⁹⁹ᵐTc-3P-RGD₂ and ⁹⁹ᵐTcO(MAG₂-3G-RGD₂) were synthesized following literature protocols. ⁹⁹ᵐTc was first obtained from a commercial DuPont Pharma ⁹⁹Mo/⁹⁹ᵐTc generator, and then conjugated to the corresponding cyclic RGD peptides through specific chelation reactions.",93%-96%,>98%,,,,
RDC00330,RDC,[68Ga]68Ga-NOTA-G3-RGD2,,,,,,,,,,,,,,,,,,,,,,,,,,1. Dissolve 10 nmol NOTA-G3-RGD2 in 500 μl of 0.1 M NaOAc buffer; 2. Incubate with 148 MBq (4 mCi) of ⁶⁸Ga for 10 min at 42°C; 3. Purify by analytical HPLC; 4. Rotary evaporate to remove solvent; 5. Formulate in PBS and filter through 0.22-μm Millipore filter,0.92,>98%,8.88-11.84 MBq/nmol,,,
RDC00329,RDC,[68Ga]68Ga-NOTA-P4-RGD2,,,,,,,,,,,,,,,,,,,,,,,,,,1. Dissolve 10 nmol NOTA-G3-RGD2 in 500 μl of 0.1 M NaOAc buffer; 2. Incubate with 148 MBq (4 mCi) of ⁶⁸Ga for 10 min at 42°C; 3. Purify by analytical HPLC; 4. Rotary evaporate to remove solvent; 5. Formulate in PBS and filter through 0.22-μm Millipore filter,0.92,>98%,8.88-11.84 MBq/nmol,,,
RDC00336,RDC,[64Cu]64Cu-AmBaSar-RGD,,,,,,,,,,,,,,,,,,,,,,,,,,"1. Prepare [64Cu](OAc)2 by mixing 64CuCl2​ (in 0.1 M HCl) with 0.1 M ammonium acetate (pH 5.0) and incubating 15 min at room temperature.2. Mix AmBaSar-RGD (1-2 mg in 0.1 M ammonium acetate) with 1-3 mCi 64Cu(OAc)2​ in 0.1 M sodium acetate buffer (pH 5.0).3. React 60 min at 23-25 °C.4. Purify via radio-HPLC, evaporate eluant, reconstitute in saline, and filter through 0.22 μm Millipore filter.",≥80%,≥95%,,,,
RDC00337,RDC,[64Cu]64Cu-NO2A-6-Ahx-RM2,,,,,,,,,,,,,,,,,,,,,,,,,,"[RGD-Glu-[NO₂A]-6-Ahx-RM2] (50 μg, 200 μl 0.4 M ammonium acetate) reacted with ⁶⁴CuCl₂·2H₂O (74-111 MBq, 9.15 × 10⁸ Bq/mol) for 1 h at 70℃ (pH=7.0); 50 μl of 10 mM DTPA solution added to scavenge unreacted copper; purified by reversed-phase high-performance liquid chromatography (RP-HPLC) and collected into 100 μl of 1 mg/ml bovine serum albumin (BSA)",≥80%,≥95%,9.15 × 10⁸  Bq/mol,,,
RDC00338,RDC,[68Ga]68Ga-NODAGA-RGD,,,,,,,,,,,,,,,,,,,,,,,,,,"Solid phase peptide synthesis (Fmoc strategy) for c(RGDfK(NODAGA)); 68Ga labeling at room temperature for 5-15 min, no further purification needed",>96%,>96%,10 TBq/mmol,,,
RDC00342,RDC,[18F]18F-FB-PEG₃-RGD-BBN,,,,,,,,,,,,,,,,,,,,,,,,,,"Labeled with ¹⁸F using N-succinimidyl-4-¹⁸F-fluorobenzoate (¹⁸F-SFB) as the synthon; purified by HPLC; reconstituted in PBS and filtered through 0.22-μm Millipore filter | 40~50% (decay-corrected, based on ¹⁸F-SFB)",>98%,,0.2~0.4 Ci/μmol,,,
RDC00343,RDC,[64Cu]64Cu-NOTA-RGD-BBN,,,,,,,,,,,,,,,,,,,,,,,,,,5 nmol of NOTA-RGD-BBN dissolved in NaOAc buffer labeled with 2 mCi (74 MBq) of ⁶⁴Cu for 15 min at 40 °C; purified by analytical HPLC; reconstituted in PBS and filtered through 0.22-μm Millipore filter,>98%,,0.2~0.4 Ci/μmol,,,
RDC00341,RDC,[68Ga]68Ga-NOTA-RGD-BBN,,,,,,,,,,,,,,,,,,,,,,,,,,5 nmol of NOTA-RGD-BBN dissolved in 500 μL of 0.1 M sodium acetate buffer incubated with 4 mCi (148 MBq) of ⁶⁸Ga for 15 min at 40 °C; purified by analytical HPLC; reconstituted in PBS and filtered through 0.22-μm Millipore filter,>98%,,0.2~0.4 Ci/μmol,,,
RDC00348,RDC,[68Ga]68Ga-TRAP(RGD)3,,,,,,,,,,,,,,,,,,,,,,,,,,5 nmol of NOTA-RGD-BBN dissolved in 500 μL of 0.1 M sodium acetate buffer incubated with 4 mCi (148 MBq) of ⁶⁸Ga for 15 min at 40 °C; purified by analytical HPLC; reconstituted in PBS and filtered through 0.22-μm Millipore filter,>98%,>98%,800~1000  GBq/μmol,,,
RDC00349,RDC,[64Cu]64Cu-DOTA-AgRP-7C,,,,,,,,,,,,,,,,,,,,,,,,,,5 nmol of NOTA-RGD-BBN dissolved in NaOAc buffer labeled with 2 mCi (74 MBq) of ⁶⁴Cu for 15 min at 40 °C; purified by analytical HPLC; reconstituted in PBS and filtered through 0.22-μm Millipore filter,,,,,,
RDC00350,RDC,[18F]Al-18F-NOTA-PEG28-A20FMDV2,,,,,,,,,,,,,,,,,,,,,,,,,,"Aqueous [¹⁸F]fluoride solution was delivered through an ¹⁸F Trap & Release Column, trapped [¹⁸F]fluoride was eluted with aqueous sodium acetate (0.5 M, pH 4.1), mixed with AlCl₃ and DMSO, reacted with NOTA-PEG₂₈-A20FMDV2 (1) at 100°C for 15 min, purified by semi-preparative HPLC (system C), formulated in PBS",,>99%,158 ± 36 GBq/μmol,,,
RDC00353,RDC,DOTA-conjugated γ-AA1 RGD mimetic,,,,,,,,,,,,,,,,,,,,,,,,,,"64Cu labeling in buffer, purification by HPLC, 90 min",50 ± 15%,>95%,~9 GBq/mg,,,
RDC00357,RDC,[¹⁸F]FAI-NOTA-RGD-ATWLPPR,,,,,,,,,,,,,,,,,,,,,,,,,,One-step labeling via [¹⁸F]FAI-NOTA chelation,30-40%,>95%,,,,
RDC00358,RDC,64Cu-NOTA-(PEG)₂-c(RGDfK),,,,,,,,,,,,,,,,,,,,,,,,,,"64CuCl₂ in NaOAc buffer, 37°C, 15 min",>90%,>95%,>15 MBq/nmol,,,
RDC00359,RDC,64Cu-NOTA-PEG₄-SAA₄-c(RGDfK),,,,,,,,,,,,,,,,,,,,,,,,,,"64CuCl₂ in NaOAc buffer, 37°C, 15 min",>90%,>95%,>15 MBq/nmol,,,
RDC00360,RDC,[¹²⁵I]TFIB,,,,,,,,,,,,,,,,,,,,,,,,,,"Iodogen, AcOH, MeOH, RT, 40 min",0.71,>99%,30–35 GBq/μmol,,,
RDC00371,RDC,[⁶⁸Ga]Ga-NOTA-PRGD2,,,,,,,,,,,,,,,,,,,,,,,,,,⁶⁸Ga-NOTA chelation,0.7,>95%,46.25 GBq/μmol,,,
RDC00372,RDC,[⁶⁸Ga]Ga-NOTA-c(NGR),,,,,,,,,,,,,,,,,,,,,,,,,,⁶⁸Ga-NOTA chelation at RT,65–75%,>95%,5.13–5.92 GBq/μmol,,,
RDC00374,RDC,[⁹⁹mTc]Tc-RGD-BBN,,,,,,,,,,,,,,,,,,,,,,,,,,Kit-based labeling with ⁹⁹mTc,>95%,>95%,,,,
RDC00376,RDC,[⁶⁴Cu]Cu-DOTA-PEG-A20FMDV2,,,,,,,,,,,,,,,,,,,,,,,,,,"Solution labeling, room temp, 1 h",>99%,>99%,0.48 Ci/μmol,,,
RDC00377,RDC,[⁶⁴Cu]Cu-CB-TE2A-PEG-A20FMDV2,,,,,,,,,,,,,,,,,,,,,,,,,,"Solution labeling, 90–95°C, 1 h",>99%,>99%,0.52 Ci/μmol,,,
RDC00378,RDC,⁶⁸Ga-1,,,,,,,,,,,,,,,,,,,,,,,,,,"Labeling in HEPES buffer, 75°C, 30 min",>95%,>99%,33 - 44 MBq/nmol,,,
RDC00379,RDC,⁶⁸Ga-1a,,,,,,,,,,,,,,,,,,,,,,,,,,"Labeling in HEPES buffer, 75°C, 30 min",>95%,>99%,33 - 44 MBq/nmol,,,
RDC00380,RDC,⁶⁸Ga-2,,,,,,,,,,,,,,,,,,,,,,,,,,"Labeling in HEPES buffer, 75°C, 30 min",>95%,>99%,33 - 44 MBq/nmol,,,
RDC00381,RDC,⁶⁸Ga-3,,,,,,,,,,,,,,,,,,,,,,,,,,"Labeling in HEPES buffer, 75°C, 30 min",>95%,>99%,33 - 44 MBq/nmol,,,
RDC00382,RDC,99mTc-Galacto-RGD2,,,,,,,,,,,,,,,,,,,,,,,,,,"Kit labeling with tricine/TPPTS, 100°C, 30 min",>95%,>95%,185 GBq/μmol,,,
RDC00383,RDC,[⁶⁸Ga]Ga-THP-NCS-RGD,,,,,,,,,,,,,,,,,,,,,,,,,,"Generator eluate, ambient temp, ammonium acetate buffer",>95%,>95%,60–80 MBq/nmol,,,
RDC00384,RDC,[⁶⁸Ga]Ga-THP-PhNCS-RGD,,,,,,,,,,,,,,,,,,,,,,,,,,"Generator eluate, ambient temp, ammonium acetate buffer",>95%,>95%,60–80 MBq/nmol,,,
RDC00385,RDC,[⁶⁸Ga]Ga-DOTA-3PRGD₂,,,,,,,,,,,,,,,,,,,,,,,,,,"Kit-based, 100°C, 10 min",90–95%,>98%,,,,
RDC00386,RDC,68Ga-DOTA-E-[c(RGDfK)]₂,,,,,,,,,,,,,,,,,,,,,,,,,,"Labeling with ^68^Ga from generator, purified by SPE",60 ± 6%,>99%,7.3 ± 0.44 GBq/μmol,,,
RDC00387,RDC,111In-DOTA-AgRP-7C,,,,,,,,,,,,,,,,,,,,,,,,,,"Labeling with ^111^InCl₃ in NH₄OAc buffer, purified by PD-10 column",~50%,>99%,~0.25 mCi/nmol,,,
RDC00389,RDC,64Cu(DOTA-3PEG~4~-dimer),,,,,,,,,,,,,,,,,,,,,,,,,,"Heating with ^64^CuCl~2~ in NaOAc buffer, pH 6.9, 100°C, 30 min",>95%,>95%,>50 Ci/mmol,,,
RDC00390,RDC,64Cu(DOTA-3G~3~-dimer),,,,,,,,,,,,,,,,,,,,,,,,,,"Heating with ^64^CuCl~2~ in NaOAc buffer, pH 6.9, 100°C, 30 min",>95%,>95%,>50 Ci/mmol,,,
RDC00391,RDC,99mTc(CO)~3~-BPy-6C-CisoDGRC,,,,,,,,,,,,,,,,,,,,,,,,,,"fac-[99mTc(CO)3(H2O)3]+ precursor, 100°C, 30 min",>98%,>98%,,,,
RDC00392,RDC,99mTc(CO)~3~-BPy-3C-Ser-CisoDGRC,,,,,,,,,,,,,,,,,,,,,,,,,,"fac-[99mTc(CO)3(H2O)3]+ precursor, 100°C, 30 min",>98%,>98%,,,,
RDC00394,RDC,64Cu-CB-TE1A1P-PEG~28~-A20FMDV2,,,,,,,,,,,,,,,,,,,,,,,,,,"64Cu-acetate in ammonium acetate buffer, pH 6, 50°C, 15 min",>98%,>98%,0.58 Ci/μmol,,,
RDC00397,RDC,64Cu-BaBaSar-PEG~28~-A20FMDV2,,,,,,,,,,,,,,,,,,,,,,,,,,"64Cu-acetate in ammonium acetate buffer, pH 6, 37°C, 15 min",>97%,>97%,0.6 Ci/μmol,,,
RDC00398,RDC,99mTc-P6G-RGD2,,,,,,,,,,,,,,,,,,,,,,,,,,"Kit-based, heating 100°C, 15-20 min",>95%,>95%,37 - 110 GBq/μmol,,,
RDC00399,RDC,99mTc-P6D-RGD2,,,,,,,,,,,,,,,,,,,,,,,,,,"Kit-based, heating 100°C, 15-20 min",>95%,>95%,37 - 110 GBq/μmol,,,
RDC00402,RDC,99mTc-CPA-cRGDfK,,,,,,,,,,,,,,,,,,,,,,,,,,>90%,>98%,,,,,
RDC00403,RDC,64Cu-DOTA-(AF)SAv/biotin-PEG-RGD2,,,,,,,,,,,,,,,,,,,,,,,,,,"64CuCl2, 40°C, 30 min, spin column purification",0.521,,1 GBq/mg,,,
RDC00406,RDC,99mTc-c(RGDfK)-(Orn)3-CGC,,,,,,,,,,,,,,,,,,,,,,,,,,Ligand exchange with 99mTc-gluconate,>98%,>98%,,,,
RDC00407,RDC,111In-HPMA-KCCYSL-DTPA,,,,,,,,,,,,,,,,,,,,,,,,,,Chelation with 111InCl3 in acetate buffer,0.525,>95%,,,,
RDC00408,RDC,HPMA-KYLCSC-111InDTPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDC00409,RDC,111In-HPMA-RGDfK-DTPA,,,,,,,,,,,,,,,,,,,,,,,,,,Chelation with 111InCl3 in acetate buffer,0.525,>95%,,,,
RDC00410,RDC,HPMA-RGEfK-111InDTPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDC00416,RDC,111In-p-SCN-Bz-DTPA-14C5,,,,,,,,,,,,,,,,,,,,,,,,,,Conjugation then labeling,>82%,>98%,74 MBq/mg,,,
RDC00417,RDC,111In-p-SCN-Bz-DOTA-14C5,,,,,,,,,,,,,,,,,,,,,,,,,,Conjugation then labeling,>60%,>98%,74 MBq/mg,,,
RDC00419,RDC,99mTc-RGD-4CK,,,,,,,,,,,,,,,,,,,,,,,,,,>95%,>95% after purification,,,,,
RDC00423,RDC,[68Ga]Ga-NODAGA-c(RGDfK),,,,,,,,,,,,,,,,,,,,,,,,,,"Using a 1110 MBq ⁶⁸Ge/⁶⁸Ga generator, elute with 7 mL 0.1N HCl to collect ⁶⁸Ga. The eluted ⁶⁸Ga solution (240-290 MBq) is then loaded onto a cation-exchange column (Strata-XC; Phenomenex). Elute the column with 800 μL acetone/HCl mixture (97.6% v/v, 0.02N), collecting the eluate directly into a tube containing 2 mL 0.2 mol/L sodium acetate buffer (pH 4.0) and 10 μg NODAGA-c(RGDfK).",＞97%,＞97%,15–20 GBq/mmol,,,
RDC00424,RDC,[64Cu]Cu-NODAGA-c(RGDfK),,,,,,,,,,,,,,,,,,,,,,,,,,"Using ⁶⁴CuCl₂ (37–74 MBq) and 5–10 μg NODAGA-c(RGDfK) in 0.1 mol/L ammonium acetate buffer (pH 8.0), labeling was completed in 10 min at room temperature without heating. Post-labeling, radiochemical purity (>97%) was verified via RP-HPLC, specific activity (15–20 GBq/μmol) determined, and the product diluted with 0.9% NaCl for use.",＞97%,＞97%,15–20 GBq/mmol,,,
RDC00425,RDC,[64Cu]Cu-CB-TE2A-c(RGDfK),,,,,,,,,,,,,,,,,,,,,,,,,,"Using ⁶⁴CuCl₂ (37–74 MBq) and 5–10 μg CB-TE2A-c(RGDfK) in 0.1 mol/L ammonium acetate buffer (pH 8.0), labeling was performed at 95 °C for 30 min. Post-reaction, radiochemical purity (>97%) and specific activity (15–20 GBq/μmol) were confirmed by RP-HPLC. The product was diluted with 0.9% NaCl for experimental use.",＞97%,＞97%,15–20 GBq/mmol,,,
RDC00426,RDC,[⁹⁹ᵐTc]Tc(CO)3-ADA-PIA,,,,,,,,,,,,,,,,,,,,,,,,,,"Using 99mTc(CO)3​(H2​O)3​+ precursor and PIA-ADA conjugate in sodium acetate buffer (pH 4.5), labeling was performed at 70°C for 45 minutes. The resulting 99mTc(CO)3​-ADA-PIA complex was purified using sequential Sep-Pak C-18 and QMA cartridges, with radiochemical purity (>95%) confirmed by reverse-phase HPLC. The final product was formulated in phosphate buffer.",78%.,>95%,,,,
RDC00427,RDC,[68Ga]Ga-NODAGA-RGDyK,,,,,,,,,,,,,,,,,,,,,,,,,,"The ⁶⁸Ga eluate was obtained using 0.1 mol/L HCl from a ⁶⁸Ge/⁶⁸Ga generator (IGG100), and the high-activity fraction was collected. 20 μg of NODAGA-RGDyK was added to the ⁶⁸Ga fraction and reacted for 20 min at room temperature in the Modular-Lab PharmTracer system. The product was purified via an integrated cartridge, eluted with 50% ethanol, filtered through a 0.22 μm membrane, and diluted in saline.",,>99%,5–12.5 MBq/μg,,,
RDC00431,RDC,[¹⁸⁸Re]Re-IDA-D-[c(RGDfK)]₂,,,,,,,,,,,,,,,,,,,,,,,,,,"IDA-D-[c(RGDfK)]₂ (0.3 mg) was dissolved in 300 μL ultrapure water. [¹⁸⁸Re(H₂O)₃(CO)₃]⁺ (50–100 mCi) was added and reacted at 75°C for 60 min. Semi-preparative HPLC (C18 column, CH₃CN/H₂O/TFA gradient elution) gave a retention time of 19.2 min.",50 - 55%,>95%,~3.3 Ci/μmol,,,
RDC00435,RDC,[⁶⁸Ga]Ga-DOTA-E{E[c(RGDfK)]₂}₂,,,,,,,,,,,,,,,,,,,,,,,,,,"⁶⁸GaCl₃ was eluted from a TiO₂ generator with 0.1M HCl. The eluate (315-365 MBq) was reacted with DOTA-RGD in ammonium acetate/HEPES buffer at 95°C for 20 min. The product was purified on an Oasis HLB column, washed with water, and eluted with 25% ethanol. The final product was diluted in PBS to achieve <5% ethanol.",,0.99,11.2 MBq/nmol,,,
RDC00437,RDC,[68Ga]Ga-NOPO−c(RGDfK),,,,,,,,,,,,,,,,,,,,,,,,,,"Use the eluate from a ⁶⁸Ge/⁶⁸Ga generator (1.0 M HCl) directly without pre-purification. Mix a trace amount of precursor (0.1-1 nmol) with HEPES buffer, add the ⁶⁸Ga eluate, and heat at 100°C for 5 min for labeling. Purify the reaction mixture using a C18 solid-phase extraction cartridge.",94.3 ± 3.2%,>99%,0.7~5.6 TBq/μmol,,,
RDC00438,RDC,[64Cu]Cu-CB-TE1A1P-LLP2A,,,,,,,,,,,,,,,,,,,,,,,,,,"Labeling was performed by incubating with CB-TE1A1P-LLP2A in 0.1 M ammonium acetate buffer (pH 8.1) at 90 °C for 5 minutes using ⁶⁴Cu, followed by purification and analysis via radio-HPLC on a C18 column.",>95%,>95%,1 mCi/μg,,,
RDC00439,RDC,[⁹⁹ᵐTc]Tc-RGD-Lys-(Arg¹¹) CCMSH,,,,,,,,,,,,,,,,,,,,,,,,,,"Using ⁹⁹ᵐTcO₄⁻ (37–74 MBq) and 10 μg of RGD-Lys-(Arg¹¹)CCMSH peptide in a glucoheptonate transchelation system, labeling was achieved by incubation at 75°C for 40 min at pH 8.5. Post-labeling, the product was purified via RP-HPLC to achieve high radiochemical purity (>98%) was determined. The final product was diluted with normal saline (pH adjusted to 5.0).",>95%,>98%,,,,
RDC00440,RDC,[⁹⁹ᵐTc]Tc-EDDA₂/HYNIC-IAC,,,,,,,,,,,,,,,,,,,,,,,,,,"⁹⁹ᵐTc was labeled with IAC-HYNIC using SnCl₂ reduction in tricine/succinate buffer (pH 6, 37°C, 30 min). EDDA was then added and the complex was heated (80°C, 25 min). The product was purified on a C-18 cartridge with 20% ACN, confirmed by HPLC, and formulated in PBS for biological studies.",>80%,>97%,,,,
RDC00443,RDC,[64Cu]Cu-cyclam-RAFT-c(-RGDfK-)4,,,,,,,,,,,,,,,,,,,,,,,,,,"The precursor cyclam-RAFT-c(-RGDfK-)₄ was dissolved in 10% HEPES/90% MeOH (10 mM, pH 7.0) or DMSO for storage. ⁶⁴CuCl₂ was reconstituted in 100 mM citrate buffer (pH 5.5). Equal volumes of 0.4 mM precursor and 1.18 MBq/μL ⁶⁴CuCl₂ were mixed and incubated at 37 °C for 60 min. Labeling efficiency was determined by RP-HPLC or TLC with autoradiography.",,＞99%,3 MBq/nmol​,,,
RDC00444,RDC,[⁹⁹ᵐTc]Tc-EDDA/HYNIC-E-[c(RGDfK)]2,,,,,,,,,,,,,,,,,,,,,,,,,,,,96±2%,42 GBq/mmol,,,
RDC00445,RDC,[111In]In-DOTA-c(RGDfK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDC00447,RDC,[64Cu]Cu-NOTA-3-4A,,,,,,,,,,,,,,,,,,,,,,,,,,"Add ⁶⁴CuCl₂ solution to NOTA-3-4A and incubate at 37°C for 1 hour. Purify the labeled product using a PD-10 column (GE Healthcare Life Sciences) with phosphate-buffered saline (PBS, pH 7.4) as the eluent to remove unbound free ⁶⁴Cu and other impurities, obtaining high-purity ⁶⁴Cu-NOTA-3-4A probe.",>70%,>95%,4.3 MBq/nmol,,,
RDC00448,RDC,[¹⁷⁷Lu]Lu-DOTA-E-c (RGDfK)₂,,,,,,,,,,,,,,,,,,,,,,,,,,"Take 5 ml of DOTA-E-c(RGDfK)₂ (1 mg/ml) and dilute it with 50 ml of 1M pH 5 acetate buffer.Add 7 μl of ¹⁷⁷LuCl₃ solution.Incubate at 90°C for 30 minutes, then dilute to 4 ml with injectable-grade water.",,>98%,,,,
RDC00449,RDC,[¹⁷⁷Lu]Lu-AuNP-c (RGDfK) C,,,,,,,,,,,,,,,,,,,,,,,,,,"Add 0.025 ml of 5 mM c(RGDfK)C to 1 ml of 20 nm AuNP solution (each 20 nm AuNP binds 108 molecules).Add 3 ml of ¹⁷⁷Lu-DOTA-GGC (0.25 μg peptide, 1.89×10¹⁴ molecules, each 20 nm AuNP binds 270 molecules).Stir for 5 minutes to form the multimer system without further purification.",,96±2%,,,,
RDC00116,RDC,[⁶⁸Ga]Ga-DOTA-RGD peptide,,,,,,,,,,,,,,,,,,,,,,,,,,"Elute ⁶⁸GaCl₃ from a ⁶⁸Ge/⁶⁸Ga generator (loaded with 1850 MBq ⁶⁸Ge) using 0.1 M HCl; adjust pH to 4.4 (with HEPES), then incubate with DOTA-RGD peptide (13 nmol) at 100°C for 20 minutes; determine radiochemical purity by radio-HPLC (μBondapak C18 column, mobile phase containing TFA/acetonitrile/phosphate).",,97±2%,8.7±1.1 GBq/μmol,,,
RDC00451,RDC,[64Cu]Cu-CB-TE2A-c(RGDyK),,,,,,,,,,,,,,,,,,,,,,,,,,"Add 64CuCl₂ to CB-TE2A-c(RGDyK) dissolved in 0.1 M ammonium acetate buffer (pH=8), and heat the mixture at 95°C for 1 hour; monitor the reaction by radio-HPLC and radio-TLC.",,>95%,1 mCi/μg,,,
RDC00453,RDC,[⁹⁰Y]Y-DOTA-c (RGDfK),,,,,,,,,,,,,,,,,,,,,,,,,,"Mix ⁹⁰YCl₃ with DOTA-c(RGDfK) in 3M acetic acid buffer (pH 6.0), heat at 100°C for 15 minutes to achieve labeling, followed by purification using reversed-phase high-performance liquid chromatography (RP-HPLC, Cosmosil 5C₁₈-AR 300 column)",,>99%,,,,
