drug_id,external_id,drug_name,drug_synonyms,status,Type,main_pubmed,main_doi,smiles,structure_image,chebi_id,pubchem_cid,pubchem_sid,MOA,notes,created_at,updated_at,,,,,,,,,,,,,,
RDC00889,,[68Ga]Ga-XH03-3,68Ga-XH03-3,Preclinical,Diagnosis,,10.1021/cbmi.5c00118,,,,,,"[68Ga]Ga-XH03-3 is a PET imaging tracer labeled with gallium-68, and targeting fibroblast activation protein (FAP), enabling visualization of tumors such as pancreatic cancer and breast cancer through specific binding to cancer-associated fibroblasts.",,,,,,,,,,,,,,,,,
RDC00890,,[68Ga]Ga-XH03-11,68Ga-XH03-11,Preclinical,Diagnosis,,10.1021/cbmi.5c00118,,,,,,"[68Ga]Ga-XH03-11 is a PET imaging tracer labeled with gallium-68, and targeting fibroblast activation protein (FAP), enabling visualization of tumors such as pancreatic cancer and colorectal cancer through specific binding to cancer-associated fibroblasts.",,,,,,,,,,,,,,,,,
RDC00891,,[68Ga]Ga-XH03-12,68Ga-XH03-12,Preclinical,Diagnosis,,10.1021/cbmi.5c00118,,,,,,"[68Ga]Ga-XH03-12 is a PET imaging tracer labeled with gallium-68, and targeting fibroblast activation protein (FAP), enabling visualization of tumors such as pancreatic cancer and lung cancer through specific binding to cancer-associated fibroblasts.",,,,,,,,,,,,,,,,,
RDC00892,,[68Ga]Ga-XH03-13,68Ga-XH03-13,Preclinical,Diagnosis,,10.1021/cbmi.5c00118,,,,,,"[68Ga]Ga-XH03-13 is a PET imaging tracer labeled with gallium-68, and targeting fibroblast activation protein (FAP), enabling visualization of tumors such as pancreatic cancer and breast cancer through specific binding to cancer-associated fibroblasts.",,,,,,,,,,,,,,,,,
RDC00893,,[68Ga]Ga-XH03-14,68Ga-XH03-14,Preclinical,Diagnosis,,10.1021/cbmi.5c00118,,,,,,"[68Ga]Ga-XH03-14 is a PET imaging tracer labeled with gallium-68, and targeting fibroblast activation protein (FAP), enabling visualization of tumors such as pancreatic cancer and colorectal cancer through specific binding to cancer-associated fibroblasts.",,,,,,,,,,,,,,,,,
RDC00894,,[177Lu]Lu-XH03-11,177Lu-XH03-11,Preclinical,Treatment,,10.1021/cbmi.5c00118,,,,,,"[177Lu]Lu-XH03-11 is a radioligand therapy agent labeled with lutetium-177, and targeting fibroblast activation protein (FAP), enabling targeted radiotherapy of tumors such as pancreatic cancer and colorectal cancer through specific binding to cancer-associated fibroblasts.",,,,,,,,,,,,,,,,,
RDC00895,,[68Ga]Ga-10P3Me,68Ga-10P3Me,Preclinical,Diagnosis ,40916346,10.1021/acs.jmedchem.5c02081,,,,,,"[68Ga]Ga-10P3Me is a PET imaging tracer labeled with gallium-68, and targeting fibroblast activation protein (FAP), enabling visualization of tumors such as pancreatic cancer and lung cancer through specific binding to cancer-associated fibroblasts.",,,,,,,,,,,,,,,,,
RDC00896,,[68Ga]Ga-10YX,68Ga-10YX,Preclinical,Diagnosis ,40916346,10.1021/acs.jmedchem.5c02081,,,,,,"[68Ga]Ga-10YX is a PET imaging tracer labeled with gallium-68, and targeting fibroblast activation protein (FAP), enabling visualization of tumors such as pancreatic cancer and breast cancer through specific binding to cancer-associated fibroblasts.",,,,,,,,,,,,,,,,,
RDC00897,,[64Cu]Cu-NOTA-GGB02-F9,64Cu-NOTA-GGB02-F9,Preclinical,Diagnosis ,41593021,10.1021/acs.jmedchem.5c02806,,,,,,"[64Cu]Cu-NOTA-GGB02-F9 is a PET imaging tracer labeled with copper-64, and targeting fibroblast activation protein (FAP), enabling visualization of tumors such as pancreatic cancer and colorectal cancer through specific binding to cancer-associated fibroblasts.",,,,,,,,,,,,,,,,,
RDC00898,,[68Ga]Ga−P1,68Ga−P1,Preclinical,Diagnosis ,41593021,10.1021/acs.jmedchem.5c03583,,,,,,"[68Ga]Ga-P1 is a PET imaging tracer labeled with gallium-68, and targeting fibroblast activation protein (FAP), enabling visualization of tumors such as pancreatic cancer and lung cancer through specific binding to cancer-associated fibroblasts.",,,,,,,,,,,,,,,,,
RDC00899,,[68Ga]Ga-P2,68Ga-P2,Preclinical,Diagnosis ,41593021,10.1021/acs.jmedchem.5c03583,,,,,,"[68Ga]Ga-P2 is a PET imaging tracer labeled with gallium-68, and targeting fibroblast activation protein (FAP), enabling visualization of tumors such as pancreatic cancer and colorectal cancer through specific binding to cancer-associated fibroblasts.",,,,,,,,,,,,,,,,,
RDC00900,,[68Ga]Ga-P3,68Ga-P3,Preclinical,Diagnosis ,41593021,10.1021/acs.jmedchem.5c03583,,,,,,"[68Ga]Ga-P3 is a PET imaging tracer labeled with gallium-68, and targeting fibroblast activation protein (FAP), enabling visualization of tumors such as pancreatic cancer and breast cancer through specific binding to cancer-associated fibroblasts.",,,,,,,,,,,,,,,,,
RDC00901,,[68Ga]Ga−P4,68Ga-P4,Preclinical,Diagnosis ,41593021,10.1021/acs.jmedchem.5c03583,,,,,,"[68Ga]Ga-P4 is a PET imaging tracer labeled with gallium-68, and targeting fibroblast activation protein (FAP), enabling visualization of tumors such as pancreatic cancer and lung cancer through specific binding to cancer-associated fibroblasts.",,,,,,,,,,,,,,,,,
RDC00902,,[177Lu]Lu-P4,177Lu-P4,Preclinical,Treatment,41593021,10.1021/acs.jmedchem.5c03583,,,,,,"[177Lu]Lu-P4 is a radioligand therapy agent labeled with lutetium-177, and targeting fibroblast activation protein (FAP), enabling targeted radiotherapy of tumors such as pancreatic cancer and colorectal cancer through specific binding to cancer-associated fibroblasts.",,,,,,,,,,,,,,,,,
RDC00903,,[68Ga]Ga-PY03,68Ga-PY03,Preclinical,Diagnosis ,41575830,10.1021/acs.jmedchem.5c03163,,,,,,"[68Ga]Ga-PY03 is a PET imaging tracer labeled with gallium-68, and targeting fibroblast activation protein (FAP), enabling visualization of tumors such as pancreatic cancer and breast cancer through specific binding to cancer-associated fibroblasts.",,,,,,,,,,,,,,,,,
RDC00904,,Al[18F]F-NNA8P1,Al18F-NNA8P1,Preclinical,Diagnosis ,41562718,10.1021/acs.jmedchem.5c02804,,,,,,"Al[18F]F-NNA8P1 is a PET imaging tracer labeled with fluorine-18 using an AlF labeling strategy and targeting fibroblast activation protein (FAP), enabling visualization of tumors such as pancreatic cancer and lung cancer through specific binding to cancer-associated fibroblasts.",,,,,,,,,,,,,,,,,
RDC00905,,Al[18F]F-NNB8P1,Al18F-NNB8P1,Preclinical,Diagnosis ,41562718,10.1021/acs.jmedchem.5c02804,,,,,,"Al[18F]F-NNB8P1 is a PET imaging tracer labeled with fluorine-18 using an AlF labeling strategy and targeting fibroblast activation protein (FAP), enabling visualization of tumors such as pancreatic cancer and colorectal cancer through specific binding to cancer-associated fibroblasts.",,,,,,,,,,,,,,,,,
RDC00906,,Al[18F]F-NCB8P1,Al18F-NCB8P1,Phase 1,Diagnosis ,41562718,10.1021/acs.jmedchem.5c02804,,,,,,"Al[18F]F-NCB8P1 is a PET imaging tracer labeled with fluorine-18 using an AlF labeling strategy and targeting fibroblast activation protein (FAP), enabling visualization of tumors such as pancreatic cancer and lung cancer through specific binding to cancer-associated fibroblasts.",,,,,,,,,,,,,,,,,
RDC00908,,[68Ga]-1s,[⁶⁸Ga] 1s,Preclinical,Diagnosis ,41530967,10.1021/acs.jmedchem.5c02532,,,,,,"[68Ga]-1s is a PET imaging tracer labeled with gallium-68, and targeting fibroblast activation protein (FAP), enabling visualization of tumors such as pancreatic cancer and lung cancer through specific binding to cancer-associated fibroblasts.",,,,,,,,,,,,,,,,,
RDC00909,,[68Ga]Ga-VUIIS1008,68Ga-VUIIS1008,Preclinical,Diagnosis ,41529265,10.1021/acs.jmedchem.5c03042,,,,,,"[68Ga]Ga-VUIIS1008 is a PET imaging tracer labeled with gallium-68 and targeting the translocator protein (TSPO), enabling visualization of diseases such as glioma and brain metastases through specific binding to tumor and inflammation-associated cells.",,,,,,,,,,,,,,,,,
RDC00910,,[99mTc]Tc-AuK-NapLPRO-HYNIC-EDDA,99mTc-AuK-NapLPRO-HYNIC-EDDA,Preclinical,Diagnosis ,41469241,10.1021/acs.jmedchem.5c03275,,,,,,"[99mTc]Tc-AuK-NapLPRO-HYNIC-EDDA is a SPECT imaging tracer labeled with technetium-99m and targeting fibroblast activation protein (FAP), enabling visualization of tumors such as pancreatic cancer and colorectal cancer through specific binding to cancer-associated fibroblasts.",,,,,,,,,,,,,,,,,
RDC00911,,[89Zr]Zr-DFO-IgG,89Zr-DFO-IgG ,Preclinical,Treatment,41266253,10.2967/jnumed.125.270568,,,,,,"[89Zr]Zr-DFO-IgG is an immuno-PET imaging tracer labeled with zirconium-89, enabling visualization of tumors such as lymphoma and breast cancer by tracking antibody distribution.",,,,,,,,,,,,,,,,,
RDC00912,,[89Zr]Zr-DFO-zolbetuximab,89Zr-DFO-zolbetuximab,Preclinical,Treatment,41266253,10.2967/jnumed.125.270568,,,,,,"[89Zr]Zr-DFO-zolbetuximab is an immuno-PET imaging tracer labeled with zirconium-89, and targeting Claudin 18.2 (CLDN18.2), enabling visualization of tumors such as gastric cancer and pancreatic cancer through specific binding to tumor cells.",,,,,,,,,,,,,,,,,
RDC00913,,[177Lu]Lu-DOTA-zolbetuximab,177Lu-DOTA-zolbetuximab,Preclinical,Treatment,41266253,10.2967/jnumed.125.270568,,,,,,"[177Lu]Lu-DOTA-zolbetuximab is a radioimmunotherapy agent labeled with lutetium-177, and targeting Claudin 18.2 (CLDN18.2), enabling targeted radiotherapy of tumors such as gastric cancer and pancreatic cancer through specific binding to tumor cells.",,,,,,,,,,,,,,,,,
RDC00914,,[68Ga]Ga-AZ-093,68Ga-AZ-093,Phase 1,Treatment,41266250,10.2967/jnumed.125.270703,,,,,,"[68Ga]Ga-AZ-093 is a PET imaging tracer labeled with gallium-68, and targeting fibroblast activation protein (FAP), enabling visualization of tumors such as pancreatic cancer and lung cancer through specific binding to cancer-associated fibroblasts.",,,,,,,,,,,,,,,,,
RDC00915,,[68Ga]Ga-AZ-NI-093,68Ga-AZ-NI-093,Phase 1,Treatment,41266250,10.2967/jnumed.125.270703,,,,,,"[68Ga]Ga-AZ-NI-093 is a PET imaging tracer labeled with gallium-68, and targeting fibroblast activation protein (FAP), enabling visualization of tumors such as pancreatic cancer and colorectal cancer through specific binding to cancer-associated fibroblasts.",,,,,,,,,,,,,,,,,
RDC00916,,[89Zr]Zr-DTPA-Pertuzumab,89Zr-DTPA-Pertuzumab,Preclinical,Diagnosis ,41266248,10.2967/jnumed.125.270508,,,,,,"[89Zr]Zr-DTPA-Pertuzumab link Zirconium-89 to pertuzumab, enabling precise PET molecular imaging of HER2-positive malignancies, such as breast and gastric cancers, through specific receptor binding.",,,,,,,,,,,,,,,,,
RDC00917,,[89Zr]Zr-CHX-A99-DTPA-pertuzumab,89Zr-CHX-A99-DTPA-pertuzumab,Preclinical,Diagnosis ,41266248,10.2967/jnumed.125.270508,,,,,,"[89Zr]Zr-CHX-A''-DTPA-pertuzumab conjugate Zirconium-89 to pertuzumab, enabling precise PET molecular imaging of HER2-positive tumors, such as breast and gastric cancers, via specific receptor targeting.",,,,,,,,,,,,,,,,,
RDC00918,,[68Ga]Ga-DOTA-Bua-CDKi,68Ga-DOTA-Bua-CDKi,Preclinical,Diagnosis ,39945599,10.1021/acs.jmedchem.4c02672,,,,,,"[68Ga]Ga-DOTA-Bua-CDKi label the Cyclin-Dependent Kinase inhibitor (CDKi) with Gallium-68, enabling precise PET molecular imaging of various malignancies, such as breast and lung cancers, by specifically targeting overexpressed kinases in tumor cells.",,,,,,,,,,,,,,,,,
RDC00919,,[68Ga]Ga-DOTA-RBB,68Ga-DOTA-RBB,Preclinical,Diagnosis ,38894920,10.1021/acsmedchemlett.4c00116,,,,,,"[68Ga]Ga-DOTA-RBB functions by label a B-cell targeting moiety (such as a Rituximab-derived fragment) with Gallium-68, enabling precise PET molecular imaging of B-cell malignancies, such as Non-Hodgkin Lymphoma (NHL), through specific binding to the CD20 antigen.",,,,,,,,,,,,,,,,,
RDC00925,,[68Ga]Ga-NOTA-Aca-BBN,68Ga-NOTA-Aca-BBN,Preclinical,Diagnosis ,41496522,10.1021/acs.molpharmaceut.5c00756,,,,,,"[68Ga]Ga-NOTA-Aca-BBN functions label a bombesin (BBN) analogue with Gallium-68, enabling precise PET molecular imaging of GRPR-positive tumors, such as prostate and breast cancers, through high-affinity binding to the gastrin-releasing peptide receptor (GRPR).",,,,,,,,,,,,,,,,,
RDC00927,,[68Ga]Ga-INN3,68Ga-INN3,Phase 1,Diagnosis,,10.1016/j.cej.2026.172978,,,,,,"[68Ga]Ga-INN3 functions by labeling the INN3 ligand with Gallium-68, enabling precise PET molecular imaging of malignant solid tumors, such as gliomas or head and neck cancers, through its specific affinity for tumor microenvironment biomarkers.",,,,,,,,,,,,,,,,,
RDC00928,,[89Zr]Zr-6-mAb,89Zr-6-mAb,Preclinical,Diagnosis ,41588315,10.1021/acs.molpharmaceut.5c01947,,,,,,"[89Zr]Zr-6-mAb functions conjugate Zirconium-89 to the monoclonal antibody 6-mAb, enabling long-term and precise PET molecular imaging of malignancies through its high-specific binding to target tumor antigens.",,,,,,,,,,,,,,,,,
RDC00929,,[89Zr]Zr-1-mAb,89Zr-1-mAb,Preclinical,Diagnosis ,41588315,10.1021/acs.molpharmaceut.5c01947,,,,,,"[89Zr]Zr-1-mAb functions conjugate Zirconium-89 to the monoclonal antibody 1-mAb, enabling long-term and precise PET molecular imaging of malignant solid tumors through its high-specific affinity for target surface antigens.",,,,,,,,,,,,,,,,,
RDC00934,,[68Ga]Ga-DOTA-TFpep,68Ga-DOTA-TFpep,Preclinical,Diagnosis ,41392454,10.1021/acs.molpharmaceut.5c01313,,,,,,"[68Ga]Ga-DOTA-TFpep functions label the tissue factor-targeting peptide (TFpep) with Gallium-68, enabling precise PET molecular imaging of malignancies that overexpress tissue factor, such as pancreatic cancer and gliomas, as well as thrombotic diseases.",,,,,,,,,,,,,,,,,
RDC00935,,[68Ga]Ga-E09,68Ga-E09,Preclinical,Diagnosis ,41204628,10.1021/acs.bioconjchem.5c00513,,,,,,"[68Ga]Ga-E09 functions by labeling the EGFR-targeting nanobody E09 with Gallium-68, enabling precise PET molecular imaging of malignancies such as head and neck squamous cell carcinoma and gliomas through specific binding to the Epidermal Growth Factor Receptor (EGFR).",,,,,,,,,,,,,,,,,
RDC00936,,[68Ga]Ga-DOTA-RQAR-kbt,68Ga-DOTA-RQAR-kbt,Preclinical,Diagnosis ,39746783,10.1021/acs.bioconjchem.4c00564,,,,,,"[68Ga]Ga-DOTA-RQAR-kbt functions label the substrate mimetic RQAR-kbt with Gallium-68, enabling precise PET molecular imaging of malignancies such as prostate cancer and sites of viral infection through its high-affinity binding to transmembrane protease serine 2 (TMPRSS2) and related proteases.",,,,,,,,,,,,,,,,,
RDC00937,,[68Ga]Ga-DOTA-RQAR−OH,68Ga-DOTA-RQAR−OH,Preclinical,Diagnosis ,39746783,10.1021/acs.bioconjchem.4c00564,,,,,,"[68Ga]Ga-DOTA-RQAR-OH functions label the peptide sequence RQAR-OH with Gallium-68, enabling precise PET molecular imaging of malignancies such as prostate cancer and respiratory viral infection sites through its specific recognition of transmembrane protease serine 2 (TMPRSS2).",,,,,,,,,,,,,,,,,
RDC00938,,[68Ga]Ga-NOTA-PEG2-WP8,68Ga-NOTA-PEG2-WP8,Preclinical,Diagnosis ,41105928,10.1021/acs.analchem.5c05242,,,,,,"[68Ga]Ga-NOTA-PEG2-WP8 functions label the targeting peptide WP8 with Gallium-68 via a PEG2 linker, enabling precise PET molecular imaging of tumor apoptosis and the microenvironment by specifically binding to exposed phosphatidylserine (PS).",,,,,,,,,,,,,,,,,
RDC00941,,[68Ga]Ga-CCZ01048,68Ga-CCZ01048,Phase 1,Diagnosis ,40404705,10.1038/s41598-025-02334-y,,,,,,"[68Ga]Ga-CCZ01048 functions by labeling the alpha-melanocyte-stimulating hormone (alpha-MSH) derivative CCZ01048 with Gallium-68, enabling precise PET molecular imaging of malignant melanoma and its metastases through its high-specific affinity for the melanocortin 1 receptor (MC1R) overexpressed on melanoma cells.",,,,,,,,,,,,,,,,,
RDC00942,,[68Ga]Ga-DOTA-CCC,68Ga-DOTA-CCC,Preclinical,Diagnosis ,40257351,10.1021/acs.molpharmaceut.5c00193,,,,,,"[68Ga]Ga-DOTA-CCC functions label the GRPR antagonist CCC with Gallium-68, enabling precise PET molecular imaging of malignancies such as prostate and breast cancers through specific binding to the gastrin-releasing peptide receptor (GRPR) expressed on tumor cells.",,,,,,,,,,,,,,,,,
RDC00943,,Al[18F]F-NOTA-RHAU18,Al18F-NOTA-RHAU18,Preclinical,Diagnosis ,39807685,10.1021/acs.jmedchem.4c02121,,,,,,"Al[18F]F-NOTA-RHAU18 functions bind the Aluminum-Fluoride complex (Al[18F]F) to the FAP inhibitor RHAU18, enabling precise PET molecular imaging of various malignant solid tumors through its specific affinity for fibroblast activation protein (FAP) overexpressed in tumor-associated fibroblasts.",,,,,,,,,,,,,,,,,
RDC00944,,[68Ga]Ga-DP1,68Ga-DP1,Preclinical,Diagnosis ,41351548,10.1021/acs.jmedchem.5c02016,,,,,,"[68Ga]Ga-DP1 functions by labeling the FAP inhibitor DP1 with Gallium-68, enabling precise PET molecular imaging of various malignant solid tumors and regions of pathological fibrosis through its specific affinity for fibroblast activation protein (FAP) overexpressed in tumor-associated fibroblasts.",,,,,,,,,,,,,,,,,
RDC00945,,Al[18F]F-NP1,Al18F-NP1,Preclinical,Diagnosis ,41351548,10.1021/acs.jmedchem.5c02016,,,,,,"Al[18F]F-NP1 functions by conjugating the Aluminum-Fluoride complex (Al[18F]F) to the ligand NP1, enabling precise PET molecular imaging of various malignant solid tumors, fibrotic diseases, and cardiovascular lesions through its specific affinity for fibroblast activation protein (FAP) overexpressed in tumor-associated fibroblasts.",,,,,,,,,,,,,,,,,
RDC00946,,[68Ga]Ga-DKP,68Ga-DKP,Preclinical,Diagnosis ,40545771,10.1021/acs.molpharmaceut.5c00339,,,,,,"[68Ga]Ga-DKP functions by labeling the dimeric FAP inhibitor DKP with Gallium-68, enabling high-contrast PET molecular imaging of various malignant solid tumors through its high affinity and multivalent effects toward fibroblast activation protein (FAP) in tumor-associated fibroblasts.",,,,,,,,,,,,,,,,,
RDC00947,,Al[18F]F-NOTA-UBI 29–41,Al18F-NOTA-UBI 29–41,Preclinical,Diagnosis ,40058182,10.1016/j.ejmech.2025.117482,,,,,,"Al[18F]F-NOTA-UBI 29–41 functions bind the Aluminum-Fluoride complex (Al[18F]F) to the antimicrobial peptide fragment UBI 29–41, enabling precise PET molecular imaging of active bacterial infection sites through its high-specific affinity for negatively charged components of bacterial cell membranes.",,,,,,,,,,,,,,,,,
RDC00948,,[68Ga]Ga-SYL3C,68Ga-SYL3C,Preclinical,Diagnosis ,41114171,10.1021/acsomega.5c06875,,,,,,"[68Ga]Ga-SYL3C functions by labeling the nucleic acid aptamer SYL3C with Gallium-68, enabling precise PET molecular imaging of malignancies such as breast, colorectal, and gastric cancers through its high-specific affinity for the epithelial cell adhesion molecule (EpCAM) overexpressed on various epithelial-derived tumor cells.",,,,,,,,,,,,,,,,,
RDC00949,,[68Ga]Ga-DTN,68Ga-DTN,Preclinical,Diagnosis ,41114171,10.1021/acsomega.5c06875,,,,,,"[68Ga]Ga-DTN functions by labeling the dimeric FAP inhibitor DTN with Gallium-68, enabling high-contrast PET molecular imaging of various malignant solid tumors through its multivalent binding effect toward fibroblast activation protein (FAP) overexpressed in tumor-associated fibroblasts.",,,,,,,,,,,,,,,,,
RDC00950,,[68Ga]Ga-DTN-SYL3C,68Ga-DTN-SYL3C,Preclinical,Diagnosis ,41114171,10.1021/acsomega.5c06875,,,,,,[68Ga]Ga-DTN-SYL3C functions by labeling a bispecific ligand with Gallium-68 to simultaneously target fibroblast activation protein (FAP) in the tumor stroma and epithelial cell adhesion molecule (EpCAM) on the tumor cell surface. ,,,,,,,,,,,,,,,,,
RDC00951,,Al[18F]F-BCY10959,Al18F-BCY10959,Preclinical,Diagnosis ,40340382,10.1021/acs.molpharmaceut.5c00442,,,,,,"Al[18F]F-BCY10959 functions by using the Aluminum-Fluoride (Al[18F]F) labeling method to tag the bicyclic peptide (Bicycle®) ligand BCY10959 with Fluorine-18, enabling precise PET molecular imaging of various epithelial tumors through its exceptionally high affinity for fibroblast activation protein (FAP) overexpressed in tumor-associated fibroblasts.",,,,,,,,,,,,,,,,,
RDC00952,,[68Ga]Ga-1a,68Ga-1a,Preclinical,Diagnosis ,41203564,10.1021/acs.jmedchem.5c02595,,,,,,"[68Ga]Ga-1a functions by labeling the FAP inhibitor ""1a,"" characterized by a Ugi four-component reaction scaffold, with Gallium-68, enabling precise PET molecular imaging of various solid tumors and their microenvironment through specific binding to overexpressed fibroblast activation protein (FAP).",,,,,,,,,,,,,,,,,
RDC00953,,[68Ga]Ga-1b,68Ga-1b,Preclinical,Diagnosis ,41203564,10.1021/acs.jmedchem.5c02595,,,,,,"[68Ga]Ga-1b functions by labeling the structurally optimized FAP inhibitor ""1b"" with Gallium-68, enabling high-contrast PET molecular imaging of various stroma-rich solid tumors through its high specificity for fibroblast activation protein (FAP) overexpressed in tumor-associated fibroblasts (CAFs).",,,,,,,,,,,,,,,,,
RDC00954,,[68Ga]Ga-1c,68Ga-1c,Preclinical,Diagnosis ,41203564,10.1021/acs.jmedchem.5c02595,,,,,,"[68Ga]Ga-1c functions by labeling the further-optimized FAP inhibitor ""1c"" with Gallium-68, enabling high-sensitivity PET molecular imaging of solid tumors and their microenvironment through its high affinity for fibroblast activation protein (FAP) overexpressed in tumor-associated fibroblasts (CAFs).",,,,,,,,,,,,,,,,,
RDC00955,,[68Ga]Ga-1d,68Ga-1d,Preclinical,Diagnosis ,41203564,10.1021/acs.jmedchem.5c02595,,,,,,"[68Ga]Ga-1d functions by labeling the finely optimized FAP inhibitor ""1d"" with Gallium-68, enabling precise PET molecular imaging of various solid tumors and their stromal microenvironment through its high specificity for fibroblast activation protein (FAP) overexpressed in tumor-associated fibroblasts (CAFs).",,,,,,,,,,,,,,,,,
RDC00956,,[68Ga]Ga-1e,68Ga-1e,Preclinical,Diagnosis ,41203564,10.1021/acs.jmedchem.5c02595,,,,,,"[68Ga]Ga-1e functions by labeling the finely modified FAP inhibitor ""1e"" with Gallium-68, enabling high-sensitivity PET molecular imaging of various malignant solid tumors through its exceptional specificity for fibroblast activation protein (FAP) overexpressed in tumor-associated fibroblasts (CAFs).",,,,,,,,,,,,,,,,,
RDC00957,,[68Ga]Ga-1f,68Ga-1f,Preclinical,Diagnosis ,41203564,10.1021/acs.jmedchem.5c02595,,,,,,"[68Ga]Ga-1f functions by labeling the structurally optimized FAP inhibitor ""1f"" with Gallium-68, enabling high-contrast PET molecular imaging of various malignant solid tumors through its high affinity for fibroblast activation protein (FAP) overexpressed in tumor-associated fibroblasts (CAFs).",,,,,,,,,,,,,,,,,
RDC00958,,[68Ga]Ga-1g,68Ga-1g,Preclinical,Diagnosis ,41203564,10.1021/acs.jmedchem.5c02595,,,,,,"[68Ga]Ga-1g functions by labeling the terminally optimized FAP inhibitor ""1g"" with Gallium-68, enabling high-contrast PET molecular imaging of various malignant solid tumors and their stromal components through its exceptional specificity for fibroblast activation protein (FAP) overexpressed in tumor-associated fibroblasts (CAFs).",,,,,,,,,,,,,,,,,
RDC00959,,[68Ga]Ga-1h,68Ga-1h,Preclinical,Diagnosis ,41203564,10.1021/acs.jmedchem.5c02595,,,,,,"[68Ga]Ga-1h functions by labeling the structurally optimized FAP inhibitor ""1h"" with Gallium-68, enabling precise PET molecular imaging of various malignant solid tumors and their stromal components through its high-specific affinity for fibroblast activation protein (FAP) overexpressed in tumor-associated fibroblasts (CAFs).",,,,,,,,,,,,,,,,,
RDC00960,,[68Ga]Ga-1i,68Ga-1i,Preclinical,Diagnosis ,41203564,10.1021/acs.jmedchem.5c02595,,,,,,"[68Ga]Ga-1i functions by labeling the structurally fine-tuned FAP inhibitor ""1i"" with Gallium-68, enabling precise PET molecular imaging of various malignant solid tumors and their stromal microenvironment through its high affinity for fibroblast activation protein (FAP) overexpressed in tumor-associated fibroblasts (CAFs).",,,,,,,,,,,,,,,,,
RDC00961,,[68Ga]Ga-ZL02,68Ga-ZL02,Preclinical,Diagnosis ,40318506,10.1016/j.bioorg.2025.108515,,,,,,"[68Ga]Ga-ZL02 functions by labeling the ligand ZL02 with Gallium-68, enabling high-contrast PET molecular imaging of various solid tumors and their stromal components through its high affinity for fibroblast activation protein (FAP) overexpressed in tumor-associated fibroblasts (CAFs).",,,,,,,,,,,,,,,,,
RDC00962,,[68Ga]Ga-ZL01,68Ga-ZL01,Preclinical,Diagnosis ,40318506,10.1016/j.bioorg.2025.108515,,,,,,"[68Ga]Ga-ZL01 functions by labeling the ligand ZL01 with Gallium-68, enabling high-sensitivity PET molecular imaging of various malignant solid tumors through its specific affinity for fibroblast activation protein (FAP) overexpressed in tumor-associated fibroblasts (CAFs).",,,,,,,,,,,,,,,,,
RDC00963,,[68Ga]Ga-1a,68Ga-1a,Preclinical,Diagnosis ,41058487,10.1021/acs.molpharmaceut.5c01089,,,,,,"[68Ga]Ga-1a functions by labeling the FAP inhibitor ""1a,"" characterized by a Ugi four-component reaction scaffold, with Gallium-68, enabling precise PET molecular imaging of various solid tumors and their microenvironment through specific binding to overexpressed fibroblast activation protein (FAP).",,,,,,,,,,,,,,,,,
RDC00964,,[68Ga]Ga-1b,68Ga-1b,Preclinical,Diagnosis ,41058487,10.1021/acs.molpharmaceut.5c01089,,,,,,"[68Ga]Ga-1b functions by labeling the structurally optimized FAP inhibitor ""1b"" with Gallium-68, enabling high-contrast PET molecular imaging of various stroma-rich solid tumors through its high specificity for fibroblast activation protein (FAP) overexpressed in tumor-associated fibroblasts (CAFs).",,,,,,,,,,,,,,,,,
RDC00965,,[68Ga]Ga-1c,68Ga-1c,Preclinical,Diagnosis ,41058487,10.1021/acs.molpharmaceut.5c01089,,,,,,"[68Ga]Ga-1c functions by labeling the further-optimized FAP inhibitor ""1c"" with Gallium-68, enabling high-sensitivity PET molecular imaging of solid tumors and their microenvironment through its high affinity for fibroblast activation protein (FAP) overexpressed in tumor-associated fibroblasts (CAFs).",,,,,,,,,,,,,,,,,
RDC00966,,[68Ga]Ga-1d,68Ga-1d,Preclinical,Diagnosis ,41058487,10.1021/acs.molpharmaceut.5c01089,,,,,,"[68Ga]Ga-1d functions by labeling the finely optimized FAP inhibitor ""1d"" with Gallium-68, enabling precise PET molecular imaging of various solid tumors and their stromal microenvironment through its high specificity for fibroblast activation protein (FAP) overexpressed in tumor-associated fibroblasts (CAFs).",,,,,,,,,,,,,,,,,
RDC00967,,[68Ga]Ga-1e,68Ga-1e,Preclinical,Diagnosis ,41058487,10.1021/acs.molpharmaceut.5c01089,,,,,,"[68Ga]Ga-1e functions by labeling the finely modified FAP inhibitor ""1e"" with Gallium-68, enabling high-sensitivity PET molecular imaging of various malignant solid tumors through its exceptional specificity for fibroblast activation protein (FAP) overexpressed in tumor-associated fibroblasts (CAFs).",,,,,,,,,,,,,,,,,
RDC00969,,[68Ga]Ga-SMIC-1011,68Ga-SMIC-1011,Preclinical,Diagnosis ,41452847,10.1021/acs.jmedchem.5c02886,,,,,,"[68Ga]Ga-SMIC-1011 functions by labeling a dansyl-modified PSMA ligand with Gallium-68. By leveraging its albumin-binding properties to prolong blood circulation and its high specificity for prostate-specific membrane antigen (PSMA), it enables high-contrast PET imaging of prostate cancer and its metastatic lesions.",,,,,,,,,,,,,,,,,
